name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.098,45.668,46.94,47.868,48.971,48.971
err_assign_let,425,426,True,8.054,53.557,54.806,55.019,56.996,56.996
err_arity,374,375,True,8.006,44.586,45.927,45.993,48.039,48.039
err_if_not_bool,306,307,True,8.127,37.323,38.895,39.009,40.955,40.955
err_break,356,357,True,8.098,45.122,45.905,46.893,50.979,50.979
err_type_mismatch,346,347,True,8.106,43.512,44.014,45.013,46.966,46.966
err_continue_outside_loop,347,348,True,8.106,45.426,46.928,47.027,54.984,54.984
err_return_type_mismatch,18,19,True,8.046,9.395,10.953,10.995,11.93,11.93
err_duplicate_var,54,55,True,8.073,10.887,11.987,12.945,13.117,13.117
err_arraylist_toarray_assign,309,310,True,8.005,40.211,41.923,42.023,44.975,44.975
err_unary_minus_non_numeric,293,294,True,8.022,38.062,39.044,39.966,40.913,40.913
err_eq_incomparable,296,297,True,8.053,35.108,36.898,36.977,37.044,37.044
err_rel_mixed_numeric,281,282,True,8.085,32.811,34.017,34.945,38.968,38.968
err_mod_non_int64,272,273,True,8.044,30.952,32.914,32.964,35.005,35.005
err_range_non_int,285,286,True,8.094,33.138,34.922,34.955,35.953,35.953
err_for_not_iterable,279,280,True,8.02,31.728,32.957,33.881,35.876,35.876
err_for_pattern_map_bad,308,309,True,8.0,37.208,38.887,38.971,42.019,42.019
err_array_index_not_int64,367,368,True,8.119,43.654,44.958,45.848,46.092,46.092
err_array_fill_type,345,346,True,8.07,41.398,42.943,43.047,43.971,43.971
err_string_contains_arg,312,313,True,8.018,40.319,40.98,42.012,43.909,43.909
err_ctor_call_mismatch,347,348,True,8.085,40.782,41.916,42.909,43.2,43.2
err_generic_arity,329,330,True,8.1,39.848,40.98,41.92,75.925,75.925
err_interface_not_implemented,57,58,True,8.018,12.146,13.92,13.957,14.08,14.08
err_interface_sig_mismatch,32,33,True,8.086,10.444,11.909,11.999,12.94,12.94
err_no_member,279,280,True,8.052,35.586,36.944,37.048,37.967,37.967
err_unknown_named_arg,298,299,True,8.075,36.12,37.046,37.948,38.006,38.006
err_index_non_array,270,271,True,8.076,31.367,32.875,32.957,33.814,33.814
err_unary_not_non_bool,258,259,True,8.087,29.84,31.034,31.965,31.993,31.993
err_while_not_bool,280,281,True,8.045,32.56,33.823,33.991,34.941,34.941
err_arraylist_add_type,293,294,True,8.099,38.129,38.855,39.974,40.077,40.077
err_hashmap_key_type,297,298,True,7.997,38.486,39.944,40.029,40.955,40.955
err_bound_var_mismatch,273,274,True,8.083,33.466,34.939,35.024,35.971,35.971
err_rel_unordered,270,271,True,8.066,33.017,33.964,34.951,35.017,35.017
err_interface_as_value,240,241,True,8.143,30.795,32.814,32.98,34.945,34.945
err_arith_non_numeric,347,348,True,8.169,42.118,42.935,43.972,44.915,44.915
err_lambda_arg_arity_explicit,340,341,True,8.07,39.055,40.009,40.968,42.278,42.278
err_lambda_return_type_explicit,314,315,True,8.146,37.037,38.003,38.962,42.059,42.059
err_lambda_zero_body_explicit,258,259,True,8.083,32.183,33.016,33.969,34.953,34.953
err_lambda_hof_explicit,380,381,True,8.056,48.3,49.837,49.985,51.961,51.961
err_lambda_interface_callback_explicit,341,342,True,8.02,48.884,50.011,50.894,51.016,51.016
err_lambda_in_class_static_explicit,264,265,True,8.049,35.655,36.922,36.998,40.937,40.937
err_lambda_param_narrow_explicit,306,307,True,8.132,36.92,37.9,38.929,39.925,39.925
err_lambda_infer_ambiguous_1,307,308,True,8.098,35.686,36.967,37.891,38.956,38.956
err_lambda_infer_ambiguous_2,353,354,True,8.127,41.852,43.008,43.937,47.961,47.961
err_lambda_infer_wrong_return_1,255,256,True,8.146,31.816,32.926,33.929,36.019,36.019
err_lambda_infer_wrong_return_2,348,349,True,8.046,40.94,41.917,42.956,76.982,76.982
err_lambda_infer_collection_1,289,290,True,8.057,38.298,39.92,40.052,40.975,40.975
err_lambda_infer_collection_2,308,309,True,8.038,39.122,40.914,40.989,41.996,41.996
err_lambda_infer_class_helper,278,279,True,8.028,36.554,37.945,38.029,42.902,42.902
err_lambda_infer_interface_helper,304,305,True,8.094,43.921,44.991,45.969,50.005,50.005
