name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.106,45.903,46.92,47.934,48.028,48.028
err_assign_let,425,426,True,8.092,54.339,55.938,56.001,59.967,59.967
err_arity,374,375,True,8.029,44.676,45.93,46.752,47.004,47.004
err_if_not_bool,306,307,True,8.072,37.56,38.945,39.023,42.988,42.988
err_break,356,357,True,8.063,44.542,45.939,46.111,47.915,47.915
err_type_mismatch,346,347,True,8.017,43.147,44.93,44.957,53.005,53.005
err_continue_outside_loop,347,348,True,8.06,45.901,46.962,47.943,48.946,48.946
err_return_type_mismatch,18,19,True,8.082,9.43,10.978,11.012,11.877,11.877
err_duplicate_var,54,55,True,8.045,10.924,12.906,12.947,13.223,13.223
err_arraylist_toarray_assign,309,310,True,8.09,40.748,41.956,42.896,43.94,43.94
err_unary_minus_non_numeric,293,294,True,8.112,38.691,39.953,40.956,42.904,42.904
err_eq_incomparable,296,297,True,8.022,35.314,36.861,37.031,38.262,38.262
err_rel_mixed_numeric,281,282,True,8.01,33.082,33.889,34.897,68.86,68.86
err_mod_non_int64,272,273,True,8.061,31.432,32.918,33.009,33.966,33.966
err_range_non_int,285,286,True,8.057,33.547,34.971,35.016,35.972,35.972
err_for_not_iterable,279,280,True,8.064,31.815,32.969,33.939,35.002,35.002
err_for_pattern_map_bad,308,309,True,8.089,37.626,38.951,39.887,40.988,40.988
err_array_index_not_int64,367,368,True,8.104,44.264,44.995,46.0,47.991,47.991
err_array_fill_type,345,346,True,8.082,42.167,42.968,43.98,44.853,44.853
err_string_contains_arg,312,313,True,8.051,40.215,41.899,41.975,42.982,42.982
err_ctor_call_mismatch,347,348,True,8.045,40.777,41.977,42.937,43.944,43.944
err_generic_arity,329,330,True,8.046,40.129,41.93,41.953,43.922,43.922
err_interface_not_implemented,57,58,True,8.027,12.203,13.787,13.936,14.003,14.003
err_interface_sig_mismatch,32,33,True,8.105,10.531,11.922,12.031,12.926,12.926
err_no_member,279,280,True,8.069,36.011,36.975,37.996,39.018,39.018
err_unknown_named_arg,298,299,True,8.046,36.319,37.914,38.021,38.966,38.966
err_index_non_array,270,271,True,8.057,31.466,32.968,33.02,37.85,37.85
err_unary_not_non_bool,258,259,True,8.106,30.033,31.046,31.96,31.974,31.974
err_while_not_bool,280,281,True,8.165,32.835,33.968,34.969,36.006,36.006
err_arraylist_add_type,293,294,True,8.117,38.157,39.837,39.997,44.036,44.036
err_hashmap_key_type,297,298,True,8.105,39.155,39.972,40.969,41.927,41.927
err_bound_var_mismatch,273,274,True,8.077,33.691,34.965,35.924,36.781,36.781
err_rel_unordered,270,271,True,8.036,33.248,34.941,34.955,35.037,35.037
err_interface_as_value,240,241,True,8.037,31.061,32.868,32.942,36.847,36.847
err_arith_non_numeric,347,348,True,8.131,41.78,43.051,43.932,46.928,46.928
err_lambda_arg_arity_explicit,340,341,True,8.03,39.231,40.864,40.988,44.034,44.034
err_lambda_return_type_explicit,314,315,True,8.074,37.443,38.02,39.0,43.961,43.961
err_lambda_zero_body_explicit,258,259,True,8.087,32.255,33.691,33.973,34.849,34.849
err_lambda_hof_explicit,380,381,True,8.033,48.594,49.945,50.036,84.976,84.976
err_lambda_interface_callback_explicit,341,342,True,8.062,49.258,50.939,50.968,52.131,52.131
err_lambda_in_class_static_explicit,264,265,True,8.039,35.721,36.721,37.927,38.109,38.109
err_lambda_param_narrow_explicit,306,307,True,8.053,36.889,37.952,38.971,43.014,43.014
err_lambda_infer_ambiguous_1,307,308,True,8.085,35.763,37.0,37.939,38.214,38.214
err_lambda_infer_ambiguous_2,353,354,True,8.036,41.955,42.922,43.973,47.925,47.925
err_lambda_infer_wrong_return_1,255,256,True,8.054,31.645,33.013,33.922,34.001,34.001
err_lambda_infer_wrong_return_2,348,349,True,8.077,41.184,41.99,42.957,43.904,43.904
err_lambda_infer_collection_1,289,290,True,8.063,38.329,39.907,39.984,40.948,40.948
err_lambda_infer_collection_2,308,309,True,8.078,39.794,40.934,41.934,42.016,42.016
err_lambda_infer_class_helper,278,279,True,8.067,36.629,37.893,38.907,39.984,39.984
err_lambda_infer_interface_helper,304,305,True,8.085,44.321,45.944,45.999,46.935,46.935
