name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.104,46.517,47.898,48.065,53.905,53.905
err_assign_let,425,426,True,8.032,54.772,55.89,56.938,57.998,57.998
err_arity,374,375,True,8.147,45.851,46.946,47.945,56.925,56.925
err_if_not_bool,306,307,True,8.099,38.327,39.882,39.972,40.986,40.986
err_break,356,357,True,8.117,45.145,46.038,46.974,51.95,51.95
err_type_mismatch,346,347,True,8.097,44.368,44.99,45.978,51.019,51.019
err_continue_outside_loop,347,348,True,8.166,46.578,47.964,47.991,49.011,49.011
err_return_type_mismatch,18,19,True,8.133,9.527,10.947,11.018,11.043,11.043
err_duplicate_var,54,55,True,8.104,11.177,12.931,12.973,13.131,13.131
err_arraylist_toarray_assign,309,310,True,8.112,41.03,42.922,42.969,43.909,43.909
err_unary_minus_non_numeric,293,294,True,8.094,39.224,40.919,40.977,41.961,41.961
err_eq_incomparable,296,297,True,8.118,36.281,36.975,37.966,72.956,72.956
err_rel_mixed_numeric,281,282,True,8.082,33.517,34.948,35.021,36.99,36.99
err_mod_non_int64,272,273,True,8.113,31.922,33.899,33.964,34.028,34.028
err_range_non_int,285,286,True,8.081,33.931,35.018,35.96,70.994,70.994
err_for_not_iterable,279,280,True,8.068,32.467,33.75,33.993,34.934,34.934
err_for_pattern_map_bad,308,309,True,8.119,38.255,39.966,40.01,42.01,42.01
err_array_index_not_int64,367,368,True,8.114,45.108,45.961,46.974,48.0,48.0
err_array_fill_type,345,346,True,8.141,42.845,43.943,44.934,46.987,46.987
err_string_contains_arg,312,313,True,8.088,40.929,41.978,42.953,43.942,43.942
err_ctor_call_mismatch,347,348,True,8.067,41.566,42.962,43.731,45.961,45.961
err_generic_arity,329,330,True,8.103,41.097,41.782,42.957,43.92,43.92
err_interface_not_implemented,57,58,True,8.122,12.484,13.954,14.002,14.979,14.979
err_interface_sig_mismatch,32,33,True,8.08,10.547,11.939,11.981,12.988,12.988
err_no_member,279,280,True,8.179,37.085,37.982,38.937,39.905,39.905
err_unknown_named_arg,298,299,True,8.059,37.05,38.905,38.947,39.237,39.237
err_index_non_array,270,271,True,8.097,32.079,33.833,33.951,36.135,36.135
err_unary_not_non_bool,258,259,True,8.072,30.645,31.972,32.051,33.202,33.202
err_while_not_bool,280,281,True,8.057,33.283,34.938,34.984,35.986,35.986
err_arraylist_add_type,293,294,True,8.141,39.337,40.876,40.951,42.846,42.846
err_hashmap_key_type,297,298,True,8.11,39.671,40.971,41.905,42.955,42.955
err_bound_var_mismatch,273,274,True,8.128,34.606,35.932,36.77,36.979,36.979
err_rel_unordered,270,271,True,8.036,33.774,34.912,35.935,36.157,36.157
err_interface_as_value,240,241,True,8.122,31.732,32.959,33.89,35.912,35.912
err_arith_non_numeric,347,348,True,8.119,42.776,43.916,44.925,44.996,44.996
err_lambda_arg_arity_explicit,340,341,True,8.07,39.888,41.035,41.949,42.96,42.96
err_lambda_return_type_explicit,314,315,True,8.096,38.201,39.032,39.966,40.899,40.899
err_lambda_zero_body_explicit,258,259,True,8.074,32.928,33.994,34.952,38.993,38.993
err_lambda_hof_explicit,380,381,True,8.063,49.471,50.952,50.998,52.037,52.037
err_lambda_interface_callback_explicit,341,342,True,8.088,50.599,51.038,52.025,54.982,54.982
err_lambda_in_class_static_explicit,264,265,True,8.133,36.198,37.903,37.976,38.938,38.938
err_lambda_param_narrow_explicit,306,307,True,8.054,37.719,38.89,39.934,41.948,41.948
err_lambda_infer_ambiguous_1,307,308,True,8.064,36.638,37.95,38.889,39.939,39.939
err_lambda_infer_ambiguous_2,353,354,True,8.074,42.78,43.903,44.938,46.983,46.983
err_lambda_infer_wrong_return_1,255,256,True,8.126,32.512,33.929,34.018,35.004,35.004
err_lambda_infer_wrong_return_2,348,349,True,8.073,41.847,42.981,43.918,45.957,45.957
err_lambda_infer_collection_1,289,290,True,8.037,38.968,39.975,40.938,47.009,47.009
err_lambda_infer_collection_2,308,309,True,8.107,40.517,41.951,42.03,43.991,43.991
err_lambda_infer_class_helper,278,279,True,8.056,37.322,38.94,38.969,40.891,40.891
err_lambda_infer_interface_helper,304,305,True,8.078,45.176,45.98,46.978,50.967,50.967
