name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.058,46.656,47.91,48.78,49.986,49.986
err_assign_let,425,426,True,7.991,55.056,55.907,56.939,59.0,59.0
err_arity,374,375,True,8.084,45.585,46.954,46.999,54.84,54.84
err_if_not_bool,306,307,True,8.091,38.471,39.897,40.002,40.97,40.97
err_break,356,357,True,7.995,45.122,45.944,46.957,47.922,47.922
err_type_mismatch,346,347,True,7.998,44.026,44.965,45.968,52.018,52.018
err_continue_outside_loop,347,348,True,8.133,47.23,47.048,48.979,51.89,51.89
err_return_type_mismatch,18,19,True,8.02,9.439,10.945,11.019,12.038,12.038
err_duplicate_var,54,55,True,8.063,11.045,12.893,12.948,13.196,13.196
err_arraylist_toarray_assign,309,310,True,8.067,41.158,41.93,42.976,46.043,46.043
err_unary_minus_non_numeric,293,294,True,8.085,39.033,40.054,40.974,44.935,44.935
err_eq_incomparable,296,297,True,8.048,36.098,36.919,37.975,38.982,38.982
err_rel_mixed_numeric,281,282,True,7.997,33.468,34.956,35.003,40.933,40.933
err_mod_non_int64,272,273,True,8.038,31.685,32.992,33.892,42.938,42.938
err_range_non_int,285,286,True,8.076,33.941,35.047,35.945,36.891,36.891
err_for_not_iterable,279,280,True,8.141,32.489,33.98,34.018,36.959,36.959
err_for_pattern_map_bad,308,309,True,8.066,38.207,38.979,39.974,43.935,43.935
err_array_index_not_int64,367,368,True,8.113,44.848,45.846,46.914,50.843,50.843
err_array_fill_type,345,346,True,8.008,42.71,43.927,44.928,45.039,45.039
err_string_contains_arg,312,313,True,8.045,40.972,41.947,42.978,49.831,49.831
err_ctor_call_mismatch,347,348,True,8.166,41.826,42.924,43.034,77.965,77.965
err_generic_arity,329,330,True,8.02,41.136,41.973,42.949,49.981,49.981
err_interface_not_implemented,57,58,True,7.99,12.361,13.944,13.958,14.036,14.036
err_interface_sig_mismatch,32,33,True,8.14,10.638,11.945,12.855,13.138,13.138
err_no_member,279,280,True,8.041,36.347,37.943,38.006,38.981,38.981
err_unknown_named_arg,298,299,True,8.053,36.957,37.984,38.944,38.986,38.986
err_index_non_array,270,271,True,8.176,32.616,33.929,33.972,39.038,39.038
err_unary_not_non_bool,258,259,True,8.047,30.563,31.942,32.006,33.021,33.021
err_while_not_bool,280,281,True,8.146,33.586,34.896,35.026,36.892,36.892
err_arraylist_add_type,293,294,True,8.076,38.814,39.987,40.923,46.972,46.972
err_hashmap_key_type,297,298,True,8.066,39.594,40.927,41.01,43.981,43.981
err_bound_var_mismatch,273,274,True,8.011,34.227,35.748,35.958,36.977,36.977
err_rel_unordered,270,271,True,8.051,34.453,35.008,36.027,70.029,70.029
err_interface_as_value,240,241,True,8.028,31.682,32.961,33.063,36.918,36.918
err_arith_non_numeric,347,348,True,8.181,42.926,43.907,44.937,45.986,45.986
err_lambda_arg_arity_explicit,340,341,True,8.021,39.994,41.029,41.94,47.022,47.022
err_lambda_return_type_explicit,314,315,True,8.09,38.15,39.802,39.937,40.917,40.917
err_lambda_zero_body_explicit,258,259,True,8.047,32.909,34.751,34.941,35.022,35.022
err_lambda_hof_explicit,380,381,True,8.048,49.472,50.903,51.014,53.983,53.983
err_lambda_interface_callback_explicit,341,342,True,8.03,50.168,50.992,51.992,55.067,55.067
err_lambda_in_class_static_explicit,264,265,True,8.07,36.267,37.887,38.015,40.968,40.968
err_lambda_param_narrow_explicit,306,307,True,8.052,37.479,38.958,39.01,42.874,42.874
err_lambda_infer_ambiguous_1,307,308,True,8.044,36.645,37.923,38.897,47.037,47.037
err_lambda_infer_ambiguous_2,353,354,True,8.049,42.916,43.972,44.936,47.901,47.901
err_lambda_infer_wrong_return_1,255,256,True,8.136,32.336,33.919,34.025,39.924,39.924
err_lambda_infer_wrong_return_2,348,349,True,8.018,41.861,42.924,43.942,46.987,46.987
err_lambda_infer_collection_1,289,290,True,8.172,39.393,40.885,41.021,45.989,45.989
err_lambda_infer_collection_2,308,309,True,7.999,39.913,41.777,41.977,42.914,42.914
err_lambda_infer_class_helper,278,279,True,8.021,37.282,38.962,38.98,39.055,39.055
err_lambda_infer_interface_helper,304,305,True,8.229,45.064,45.987,46.95,52.966,52.966
