name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.022,35.149,36.711,36.85,38.041,38.041
err_assign_let,425,426,True,7.972,39.516,40.893,41.023,47.934,47.934
err_arity,374,375,True,8.029,33.539,34.97,35.872,36.168,36.168
err_if_not_bool,306,307,True,7.95,29.523,30.922,31.006,39.01,39.01
err_break,356,357,True,7.953,33.091,34.814,34.957,35.079,35.079
err_type_mismatch,346,347,True,7.992,33.563,34.708,35.882,36.225,36.225
err_continue_outside_loop,347,348,True,8.046,34.327,35.914,35.976,36.942,36.942
err_return_type_mismatch,18,19,True,8.025,9.096,10.782,10.966,11.074,11.074
err_duplicate_var,54,55,True,7.982,10.424,11.917,12.007,12.956,12.956
err_arraylist_toarray_assign,309,310,True,8.015,31.593,32.869,34.052,34.85,34.85
err_unary_minus_non_numeric,293,294,True,7.906,29.593,30.854,31.826,32.183,32.183
err_eq_incomparable,296,297,True,7.997,28.116,29.781,29.964,30.828,30.828
err_rel_mixed_numeric,281,282,True,7.985,26.647,28.277,28.986,29.173,29.173
err_mod_non_int64,272,273,True,7.97,25.228,26.881,26.991,27.171,27.171
err_range_non_int,285,286,True,8.016,26.441,27.953,28.098,32.023,32.023
err_for_not_iterable,279,280,True,8.041,25.581,27.009,27.992,28.036,28.036
err_for_pattern_map_bad,308,309,True,7.963,29.083,30.751,30.958,43.978,43.978
err_array_index_not_int64,367,368,True,8.0,33.675,34.992,35.959,36.259,36.259
err_array_fill_type,345,346,True,7.982,31.955,32.884,33.974,35.183,35.183
err_string_contains_arg,312,313,True,7.991,31.143,32.762,32.88,34.923,34.923
err_ctor_call_mismatch,347,348,True,7.986,31.647,32.951,33.891,34.201,34.201
err_generic_arity,329,330,True,8.003,30.62,31.959,32.968,33.232,33.232
err_interface_not_implemented,57,58,True,8.028,11.56,12.883,13.978,14.072,14.072
err_interface_sig_mismatch,32,33,True,7.98,10.355,11.755,11.922,12.998,12.998
err_no_member,279,280,True,7.983,27.824,28.937,29.903,29.98,29.98
err_unknown_named_arg,298,299,True,8.01,28.666,29.817,30.887,31.187,31.187
err_index_non_array,270,271,True,8.02,25.502,26.819,27.716,28.252,28.252
err_unary_not_non_bool,258,259,True,8.01,24.204,25.784,26.01,27.045,27.045
err_while_not_bool,280,281,True,7.964,26.209,27.023,27.834,28.775,28.775
err_arraylist_add_type,293,294,True,7.998,29.645,30.942,31.996,32.222,32.222
err_hashmap_key_type,297,298,True,8.098,29.594,30.799,32.009,65.923,65.923
err_bound_var_mismatch,273,274,True,7.99,26.826,27.847,28.913,29.127,29.127
err_rel_unordered,270,271,True,7.978,26.119,27.764,27.902,28.182,28.182
err_interface_as_value,240,241,True,7.975,25.025,26.773,27.055,60.78,60.78
err_arith_non_numeric,347,348,True,8.03,31.787,33.897,34.038,34.209,34.209
err_lambda_arg_arity_explicit,340,341,True,7.995,29.826,31.741,31.99,32.16,32.16
err_lambda_return_type_explicit,314,315,True,8.018,28.195,29.721,29.87,30.909,30.909
err_lambda_zero_body_explicit,258,259,True,8.023,25.19,26.767,26.969,27.091,27.091
err_lambda_hof_explicit,380,381,True,8.036,36.266,37.86,38.076,41.07,41.07
err_lambda_interface_callback_explicit,341,342,True,8.015,38.04,38.994,39.967,40.932,40.932
err_lambda_in_class_static_explicit,264,265,True,8.034,27.594,28.825,29.892,30.072,30.072
err_lambda_param_narrow_explicit,306,307,True,8.003,28.336,29.767,29.941,30.96,30.96
err_lambda_infer_ambiguous_1,307,308,True,8.026,27.674,28.959,29.663,30.108,30.108
err_lambda_infer_ambiguous_2,353,354,True,7.918,31.519,32.892,33.885,34.124,34.124
err_lambda_infer_wrong_return_1,255,256,True,7.984,24.667,25.95,26.944,27.969,27.969
err_lambda_infer_wrong_return_2,348,349,True,8.044,30.434,31.789,32.057,33.222,33.222
err_lambda_infer_collection_1,289,290,True,8.064,29.361,30.725,30.973,68.065,68.065
err_lambda_infer_collection_2,308,309,True,8.024,30.402,31.82,31.937,33.05,33.05
err_lambda_infer_class_helper,278,279,True,8.018,27.963,29.98,30.089,30.809,30.809
err_lambda_infer_interface_helper,304,305,True,8.008,33.487,34.785,35.892,36.166,36.166
