name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.547,38.813,39.882,41.173,41.991,41.991
err_assign_let,425,426,True,8.501,44.505,45.731,47.116,49.925,49.925
err_arity,374,375,True,8.559,37.459,38.819,38.979,40.904,40.904
err_if_not_bool,306,307,True,8.543,32.6,33.983,34.901,35.868,35.868
err_break,356,357,True,8.606,37.132,38.746,38.931,40.198,40.198
err_type_mismatch,346,347,True,8.559,37.039,38.788,39.053,57.125,57.125
err_continue_outside_loop,347,348,True,8.543,38.122,39.723,39.926,40.062,40.062
err_return_type_mismatch,18,19,True,8.48,9.695,10.985,11.889,12.198,12.198
err_duplicate_var,54,55,True,8.562,11.161,12.747,13.054,14.076,14.076
err_arraylist_toarray_assign,309,310,True,8.51,34.731,35.787,36.956,49.831,49.831
err_unary_minus_non_numeric,293,294,True,8.534,32.819,33.97,34.967,39.944,39.944
err_eq_incomparable,296,297,True,8.557,30.831,31.996,33.179,48.007,48.007
err_rel_mixed_numeric,281,282,True,8.521,29.003,30.835,31.012,33.238,33.238
err_mod_non_int64,272,273,True,8.524,27.54,28.811,29.864,30.185,30.185
err_range_non_int,285,286,True,8.512,28.964,30.819,30.971,32.934,32.934
err_for_not_iterable,279,280,True,8.545,27.99,28.994,29.965,32.654,32.654
err_for_pattern_map_bad,308,309,True,8.512,32.019,33.826,34.074,35.12,35.12
err_array_index_not_int64,367,368,True,8.531,37.158,38.796,38.997,74.914,74.914
err_array_fill_type,345,346,True,8.519,35.35,36.749,37.124,38.053,38.053
err_string_contains_arg,312,313,True,8.486,34.319,35.678,35.939,37.861,37.861
err_ctor_call_mismatch,347,348,True,8.533,34.696,36.996,37.074,40.092,40.092
err_generic_arity,329,330,True,8.522,33.87,34.785,36.031,36.897,36.897
err_interface_not_implemented,57,58,True,8.513,11.959,13.759,13.828,14.129,14.129
err_interface_sig_mismatch,32,33,True,8.438,10.581,11.88,13.032,17.093,17.093
err_no_member,279,280,True,8.544,30.598,31.869,32.983,34.877,34.877
err_unknown_named_arg,298,299,True,8.499,31.11,32.856,32.926,33.996,33.996
err_index_non_array,270,271,True,8.515,27.828,29.779,30.005,32.124,32.124
err_unary_not_non_bool,258,259,True,8.475,26.484,27.8,28.022,29.061,29.061
err_while_not_bool,280,281,True,8.531,28.85,30.672,30.918,31.11,31.11
err_arraylist_add_type,293,294,True,8.512,32.737,33.938,34.94,35.108,35.108
err_hashmap_key_type,297,298,True,8.569,32.812,34.84,34.926,37.961,37.961
err_bound_var_mismatch,273,274,True,8.539,29.299,30.836,31.078,35.006,35.006
err_rel_unordered,270,271,True,8.506,28.585,29.838,30.902,33.102,33.102
err_interface_as_value,240,241,True,8.452,26.943,28.659,29.02,29.919,29.919
err_arith_non_numeric,347,348,True,8.593,35.231,36.796,36.995,37.903,37.903
err_lambda_arg_arity_explicit,340,341,True,8.528,33.063,34.861,34.998,71.163,71.163
err_lambda_return_type_explicit,314,315,True,8.518,31.118,32.837,32.993,34.144,34.144
err_lambda_zero_body_explicit,258,259,True,8.445,27.497,28.958,29.05,30.204,30.204
err_lambda_hof_explicit,380,381,True,8.484,40.33,41.742,41.993,43.013,43.013
err_lambda_interface_callback_explicit,341,342,True,8.538,41.332,42.866,42.973,48.804,48.804
err_lambda_in_class_static_explicit,264,265,True,8.528,30.355,31.815,32.007,34.963,34.963
err_lambda_param_narrow_explicit,306,307,True,8.517,31.002,32.806,32.963,36.006,36.006
err_lambda_infer_ambiguous_1,307,308,True,8.445,30.512,31.861,32.845,33.077,33.077
err_lambda_infer_ambiguous_2,353,354,True,8.575,34.944,36.883,37.058,40.92,40.92
err_lambda_infer_wrong_return_1,255,256,True,8.54,27.125,28.816,28.972,29.748,29.748
err_lambda_infer_wrong_return_2,348,349,True,8.524,33.688,34.986,35.947,36.135,36.135
err_lambda_infer_collection_1,289,290,True,8.493,32.392,33.793,33.965,35.169,35.169
err_lambda_infer_collection_2,308,309,True,8.506,33.711,34.961,36.005,39.0,39.0
err_lambda_infer_class_helper,278,279,True,8.504,30.703,31.727,32.9,47.213,47.213
err_lambda_infer_interface_helper,304,305,True,8.546,36.842,37.753,38.978,42.749,42.749
