name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,7.762,38.506,40.04,40.729,41.061,41.061
err_assign_let,425,426,True,7.817,44.579,45.912,46.844,47.982,47.982
err_arity,374,375,True,7.833,37.378,38.928,39.101,40.394,40.394
err_if_not_bool,306,307,True,7.813,32.28,34.026,34.212,34.961,34.961
err_break,356,357,True,7.763,36.763,37.765,38.896,39.006,39.006
err_type_mismatch,346,347,True,7.778,36.601,38.021,38.905,39.912,39.912
err_continue_outside_loop,347,348,True,7.805,37.871,39.861,39.97,40.987,40.987
err_return_type_mismatch,18,19,True,7.777,9.05,10.91,11.023,11.43,11.43
err_duplicate_var,54,55,True,7.82,10.483,12.095,12.747,12.923,12.923
err_arraylist_toarray_assign,309,310,True,7.802,34.387,35.776,36.543,36.877,36.877
err_unary_minus_non_numeric,293,294,True,7.763,32.676,34.02,34.945,35.651,35.651
err_eq_incomparable,296,297,True,7.822,30.564,31.955,32.813,33.298,33.298
err_rel_mixed_numeric,281,282,True,7.793,28.668,30.148,30.895,31.059,31.059
err_mod_non_int64,272,273,True,7.821,27.223,28.853,29.114,30.356,30.356
err_range_non_int,285,286,True,7.792,28.654,30.552,30.981,31.495,31.495
err_for_not_iterable,279,280,True,7.785,27.66,29.155,29.866,29.977,29.977
err_for_pattern_map_bad,308,309,True,7.772,31.779,33.187,33.899,34.038,34.038
err_array_index_not_int64,367,368,True,7.796,36.965,38.822,39.017,39.154,39.154
err_array_fill_type,345,346,True,7.833,35.38,36.915,37.061,37.932,37.932
err_string_contains_arg,312,313,True,7.8,34.224,35.959,36.074,36.827,36.827
err_ctor_call_mismatch,347,348,True,7.79,34.515,35.935,36.754,36.913,36.913
err_generic_arity,329,330,True,7.827,33.711,35.178,35.936,36.821,36.821
err_interface_not_implemented,57,58,True,7.82,11.391,12.966,13.144,47.922,47.922
err_interface_sig_mismatch,32,33,True,7.762,10.033,11.851,11.976,12.293,12.293
err_no_member,279,280,True,7.759,30.341,31.95,32.112,33.291,33.291
err_unknown_named_arg,298,299,True,7.765,30.976,32.52,33.021,33.437,33.437
err_index_non_array,270,271,True,7.831,27.575,29.193,29.795,29.962,29.962
err_unary_not_non_bool,258,259,True,7.758,25.998,27.6,27.984,28.555,28.555
err_while_not_bool,280,281,True,7.771,28.544,29.914,30.837,31.613,31.613
err_arraylist_add_type,293,294,True,7.797,32.444,34.042,34.778,35.767,35.767
err_hashmap_key_type,297,298,True,7.772,32.65,33.967,34.781,35.659,35.659
err_bound_var_mismatch,273,274,True,7.839,29.019,30.911,31.029,32.308,32.308
err_rel_unordered,270,271,True,7.847,28.441,30.023,30.382,30.752,30.752
err_interface_as_value,240,241,True,7.79,26.793,28.84,28.892,29.042,29.042
err_arith_non_numeric,347,348,True,7.806,34.958,36.201,37.123,38.89,38.89
err_lambda_arg_arity_explicit,340,341,True,7.798,32.767,34.162,34.935,35.426,35.426
err_lambda_return_type_explicit,314,315,True,7.784,30.648,32.776,32.966,33.53,33.53
err_lambda_zero_body_explicit,258,259,True,7.775,27.09,28.721,29.097,29.389,29.389
err_lambda_hof_explicit,380,381,True,7.784,40.236,41.759,42.101,42.943,42.943
err_lambda_interface_callback_explicit,341,342,True,7.865,41.467,42.903,43.269,44.117,44.117
err_lambda_in_class_static_explicit,264,265,True,7.797,29.985,31.645,31.972,32.072,32.072
err_lambda_param_narrow_explicit,306,307,True,7.82,30.746,32.2,32.916,33.333,33.333
err_lambda_infer_ambiguous_1,307,308,True,7.833,30.124,31.926,31.996,32.922,32.922
err_lambda_infer_ambiguous_2,353,354,True,7.784,34.791,36.756,36.95,37.713,37.713
err_lambda_infer_wrong_return_1,255,256,True,7.826,26.829,28.769,28.884,29.879,29.879
err_lambda_infer_wrong_return_2,348,349,True,7.74,33.38,34.901,35.124,35.92,35.92
err_lambda_infer_collection_1,289,290,True,7.756,32.217,33.85,34.111,35.441,35.441
err_lambda_infer_collection_2,308,309,True,7.805,33.529,35.046,35.777,36.109,36.109
err_lambda_infer_class_helper,278,279,True,7.777,30.411,31.973,32.498,32.941,32.941
err_lambda_infer_interface_helper,304,305,True,7.806,36.761,38.595,38.895,39.981,39.981
