name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.001,45.649,46.815,47.806,49.022,49.022
err_assign_let,425,426,True,8.044,53.9,55.7,55.899,56.765,56.765
err_arity,374,375,True,7.994,44.987,46.061,47.041,49.968,49.968
err_if_not_bool,306,307,True,8.061,37.622,39.022,39.854,39.996,39.996
err_break,356,357,True,8.121,44.584,45.935,46.939,47.221,47.221
err_type_mismatch,346,347,True,7.997,43.501,44.87,45.128,45.93,45.93
err_continue_outside_loop,347,348,True,7.985,45.696,46.78,47.9,48.783,48.783
err_return_type_mismatch,18,19,True,8.047,9.38,10.892,11.133,11.809,11.809
err_duplicate_var,54,55,True,8.015,10.94,12.809,12.89,13.201,13.201
err_arraylist_toarray_assign,309,310,True,8.028,40.339,41.965,42.018,42.875,42.875
err_unary_minus_non_numeric,293,294,True,8.004,38.548,39.937,40.776,40.872,40.872
err_eq_incomparable,296,297,True,8.026,35.317,36.873,37.1,37.308,37.308
err_rel_mixed_numeric,281,282,True,7.961,32.808,34.018,34.931,35.047,35.047
err_mod_non_int64,272,273,True,8.034,31.257,32.953,33.079,33.907,33.907
err_range_non_int,285,286,True,7.997,33.405,34.918,35.763,37.041,37.041
err_for_not_iterable,279,280,True,8.075,31.792,33.772,33.891,34.054,34.054
err_for_pattern_map_bad,308,309,True,8.05,37.453,38.942,39.158,39.899,39.899
err_array_index_not_int64,367,368,True,8.043,43.879,45.092,45.91,46.735,46.735
err_array_fill_type,345,346,True,8.039,42.018,43.86,44.058,45.903,45.903
err_string_contains_arg,312,313,True,8.025,40.178,41.904,42.088,76.512,76.512
err_ctor_call_mismatch,347,348,True,8.04,40.901,42.097,42.905,75.772,75.772
err_generic_arity,329,330,True,8.053,40.102,41.757,41.985,42.823,42.823
err_interface_not_implemented,57,58,True,8.035,12.279,13.939,14.07,14.496,14.496
err_interface_sig_mismatch,32,33,True,8.024,10.421,12.016,12.118,13.14,13.14
err_no_member,279,280,True,8.026,35.69,36.943,37.942,38.03,38.03
err_unknown_named_arg,298,299,True,8.023,36.336,37.945,38.071,38.984,38.984
err_index_non_array,270,271,True,8.005,31.355,32.798,33.127,34.128,34.128
err_unary_not_non_bool,258,259,True,7.985,29.857,31.742,31.913,33.11,33.11
err_while_not_bool,280,281,True,8.032,32.577,33.974,34.289,35.319,35.319
err_arraylist_add_type,293,294,True,7.984,38.235,39.869,40.098,40.946,40.946
err_hashmap_key_type,297,298,True,8.051,38.914,40.613,40.843,41.051,41.051
err_bound_var_mismatch,273,274,True,8.05,33.707,35.048,35.887,36.912,36.912
err_rel_unordered,270,271,True,8.009,33.177,34.914,35.053,35.926,35.926
err_interface_as_value,240,241,True,8.022,31.011,32.858,32.963,33.967,33.967
err_arith_non_numeric,347,348,True,8.062,41.801,43.074,43.955,45.021,45.021
err_lambda_arg_arity_explicit,340,341,True,8.052,39.135,40.891,41.025,41.933,41.933
err_lambda_return_type_explicit,314,315,True,8.048,37.205,38.746,38.982,39.101,39.101
err_lambda_zero_body_explicit,258,259,True,8.068,32.367,33.905,34.086,34.947,34.947
err_lambda_hof_explicit,380,381,True,8.009,48.897,49.756,50.955,54.048,54.048
err_lambda_interface_callback_explicit,341,342,True,7.985,49.404,50.928,51.053,54.033,54.033
err_lambda_in_class_static_explicit,264,265,True,8.006,35.488,36.943,37.147,38.366,38.366
err_lambda_param_narrow_explicit,306,307,True,7.996,36.903,37.848,38.91,39.061,39.061
err_lambda_infer_ambiguous_1,307,308,True,7.986,35.767,37.799,37.971,38.179,38.179
err_lambda_infer_ambiguous_2,353,354,True,8.017,41.834,43.019,43.868,44.02,44.02
err_lambda_infer_wrong_return_1,255,256,True,8.089,31.738,32.981,33.919,34.514,34.514
err_lambda_infer_wrong_return_2,348,349,True,8.039,41.095,42.812,43.034,43.076,43.076
err_lambda_infer_collection_1,289,290,True,8.001,38.163,39.929,40.163,41.095,41.095
err_lambda_infer_collection_2,308,309,True,7.984,39.543,40.908,41.749,42.206,42.206
err_lambda_infer_class_helper,278,279,True,8.03,36.792,37.994,38.929,39.962,39.962
err_lambda_infer_interface_helper,304,305,True,8.03,44.104,45.859,46.029,46.864,46.864
