name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.154,46.458,47.937,47.996,48.935,48.935
err_assign_let,425,426,True,8.173,54.303,54.988,55.998,59.996,59.996
err_arity,374,375,True,8.113,45.106,45.971,46.959,48.975,48.975
err_if_not_bool,306,307,True,8.108,37.946,39.807,39.971,41.997,41.997
err_break,356,357,True,8.059,44.868,45.92,46.94,47.983,47.983
err_type_mismatch,346,347,True,8.21,43.997,44.975,45.921,45.992,45.992
err_continue_outside_loop,347,348,True,8.122,46.408,46.937,48.051,51.029,51.029
err_return_type_mismatch,18,19,True,8.069,9.389,10.95,10.987,11.849,11.849
err_duplicate_var,54,55,True,8.046,11.039,12.725,12.944,13.019,13.019
err_arraylist_toarray_assign,309,310,True,8.111,40.791,41.993,42.957,45.971,45.971
err_unary_minus_non_numeric,293,294,True,8.168,39.179,40.898,40.974,42.929,42.929
err_eq_incomparable,296,297,True,8.096,35.902,37.061,37.948,38.023,38.023
err_rel_mixed_numeric,281,282,True,8.152,33.31,33.981,34.954,37.001,37.001
err_mod_non_int64,272,273,True,8.042,31.653,32.984,33.079,35.043,35.043
err_range_non_int,285,286,True,8.18,34.273,34.95,35.98,37.94,37.94
err_for_not_iterable,279,280,True,8.161,32.394,33.93,33.997,34.941,34.941
err_for_pattern_map_bad,308,309,True,8.104,37.867,38.904,39.95,40.964,40.964
err_array_index_not_int64,367,368,True,8.269,44.508,45.942,46.083,46.924,46.924
err_array_fill_type,345,346,True,8.112,42.408,43.941,44.034,46.025,46.025
err_string_contains_arg,312,313,True,8.042,40.516,41.904,42.009,43.969,43.969
err_ctor_call_mismatch,347,348,True,8.179,41.201,42.034,42.972,43.012,43.012
err_generic_arity,329,330,True,8.133,40.574,41.931,42.013,44.998,44.998
err_interface_not_implemented,57,58,True,8.128,12.534,13.99,14.02,16.906,16.906
err_interface_sig_mismatch,32,33,True,8.133,10.573,11.98,12.814,13.134,13.134
err_no_member,279,280,True,8.075,36.266,37.852,37.996,40.973,40.973
err_unknown_named_arg,298,299,True,8.155,36.899,36.966,38.957,41.031,41.031
err_index_non_array,270,271,True,8.158,32.159,33.887,33.973,34.945,34.945
err_unary_not_non_bool,258,259,True,8.141,30.523,31.947,32.086,32.97,32.97
err_while_not_bool,280,281,True,8.159,33.296,34.917,34.987,35.958,35.958
err_arraylist_add_type,293,294,True,8.113,38.963,39.933,40.899,42.019,42.019
err_hashmap_key_type,297,298,True,8.15,39.14,40.782,40.993,43.004,43.004
err_bound_var_mismatch,273,274,True,8.188,34.23,35.048,35.974,36.978,36.978
err_rel_unordered,270,271,True,8.106,33.782,35.031,35.915,37.898,37.898
err_interface_as_value,240,241,True,8.178,31.66,31.941,33.887,34.966,34.966
err_arith_non_numeric,347,348,True,8.178,42.758,43.901,44.919,47.919,47.919
err_lambda_arg_arity_explicit,340,341,True,8.143,39.96,40.938,41.915,42.015,42.015
err_lambda_return_type_explicit,314,315,True,8.151,37.417,38.955,39.04,41.108,41.108
err_lambda_zero_body_explicit,258,259,True,8.043,33.316,33.963,34.972,35.928,35.928
err_lambda_hof_explicit,380,381,True,8.14,49.336,50.923,50.982,86.968,86.968
err_lambda_interface_callback_explicit,341,342,True,8.054,50.258,50.934,51.967,56.019,56.019
err_lambda_in_class_static_explicit,264,265,True,8.076,35.938,37.029,37.981,38.037,38.037
err_lambda_param_narrow_explicit,306,307,True,8.071,37.131,38.915,38.986,39.907,39.907
err_lambda_infer_ambiguous_1,307,308,True,8.172,36.371,37.89,37.956,39.981,39.981
err_lambda_infer_ambiguous_2,353,354,True,8.134,42.671,43.95,44.889,46.942,46.942
err_lambda_infer_wrong_return_1,255,256,True,8.101,32.23,33.924,33.998,34.065,34.065
err_lambda_infer_wrong_return_2,348,349,True,8.089,41.945,42.991,43.959,48.918,48.918
err_lambda_infer_collection_1,289,290,True,8.136,38.902,39.05,40.882,56.96,56.96
err_lambda_infer_collection_2,308,309,True,7.994,40.032,41.692,41.992,43.947,43.947
err_lambda_infer_class_helper,278,279,True,8.048,36.913,37.919,38.919,39.973,39.973
err_lambda_infer_interface_helper,304,305,True,8.157,45.034,45.985,46.926,47.859,47.859
