name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.079,45.832,46.94,47.048,50.866,50.866
err_assign_let,425,426,True,8.064,53.872,55.007,55.922,56.04,56.04
err_arity,374,375,True,8.129,44.664,45.958,46.907,47.956,47.956
err_if_not_bool,306,307,True,8.106,37.839,38.936,39.939,40.993,40.993
err_break,356,357,True,8.101,44.556,45.942,46.042,46.943,46.943
err_type_mismatch,346,347,True,8.152,43.393,44.016,45.014,80.233,80.233
err_continue_outside_loop,347,348,True,8.152,46.377,46.999,48.001,50.935,50.935
err_return_type_mismatch,18,19,True,8.11,9.484,10.983,10.996,11.945,11.945
err_duplicate_var,54,55,True,8.092,10.945,12.881,12.955,13.247,13.247
err_arraylist_toarray_assign,309,310,True,8.115,40.354,41.915,42.012,45.992,45.992
err_unary_minus_non_numeric,293,294,True,8.133,38.474,39.955,40.021,40.958,40.958
err_eq_incomparable,296,297,True,8.139,35.631,36.964,37.902,38.157,38.157
err_rel_mixed_numeric,281,282,True,8.153,33.04,34.051,34.913,36.97,36.97
err_mod_non_int64,272,273,True,8.128,31.313,32.884,33.007,34.038,34.038
err_range_non_int,285,286,True,8.118,33.667,34.945,35.897,38.219,38.219
err_for_not_iterable,279,280,True,8.075,32.527,33.027,33.975,35.974,35.974
err_for_pattern_map_bad,308,309,True,8.15,37.556,38.754,39.05,74.932,74.932
err_array_index_not_int64,367,368,True,8.126,43.8,44.955,45.908,49.022,49.022
err_array_fill_type,345,346,True,8.086,41.824,42.967,43.936,45.991,45.991
err_string_contains_arg,312,313,True,8.053,40.309,40.979,41.992,44.963,44.963
err_ctor_call_mismatch,347,348,True,8.138,40.752,41.99,42.911,43.13,43.13
err_generic_arity,329,330,True,8.168,40.298,41.92,42.002,43.071,43.071
err_interface_not_implemented,57,58,True,8.142,12.332,13.958,14.003,14.903,14.903
err_interface_sig_mismatch,32,33,True,8.043,10.415,11.953,12.008,12.914,12.914
err_no_member,279,280,True,8.063,35.875,36.906,37.916,40.011,40.011
err_unknown_named_arg,298,299,True,8.072,36.342,37.04,38.011,41.021,41.021
err_index_non_array,270,271,True,8.257,31.846,32.941,33.928,34.917,34.917
err_unary_not_non_bool,258,259,True,8.124,29.89,30.998,31.941,32.947,32.947
err_while_not_bool,280,281,True,8.092,33.417,33.841,35.047,36.009,36.009
err_arraylist_add_type,293,294,True,8.078,38.21,39.859,39.956,41.974,41.974
err_hashmap_key_type,297,298,True,8.087,38.899,39.958,40.92,42.937,42.937
err_bound_var_mismatch,273,274,True,8.121,34.116,34.977,35.933,39.061,39.061
err_rel_unordered,270,271,True,8.216,33.21,34.912,34.955,36.002,36.002
err_interface_as_value,240,241,True,8.095,31.179,32.061,32.963,33.941,33.941
err_arith_non_numeric,347,348,True,8.107,41.769,42.947,43.91,44.999,44.999
err_lambda_arg_arity_explicit,340,341,True,8.136,39.362,40.963,41.021,41.95,41.95
err_lambda_return_type_explicit,314,315,True,8.091,37.222,38.036,38.969,39.951,39.951
err_lambda_zero_body_explicit,258,259,True,8.083,31.902,33.752,33.966,34.956,34.956
err_lambda_hof_explicit,380,381,True,8.071,48.441,49.909,49.995,67.01,67.01
err_lambda_interface_callback_explicit,341,342,True,8.067,49.594,50.888,51.884,54.99,54.99
err_lambda_in_class_static_explicit,264,265,True,8.138,35.625,36.952,37.056,37.989,37.989
err_lambda_param_narrow_explicit,306,307,True,8.093,36.915,37.974,38.975,55.885,55.885
err_lambda_infer_ambiguous_1,307,308,True,8.107,36.15,36.94,37.968,38.913,38.913
err_lambda_infer_ambiguous_2,353,354,True,8.089,42.295,42.999,43.975,47.014,47.014
err_lambda_infer_wrong_return_1,255,256,True,8.086,31.984,32.928,33.983,35.996,35.996
err_lambda_infer_wrong_return_2,348,349,True,8.101,41.249,41.986,42.985,44.004,44.004
err_lambda_infer_collection_1,289,290,True,8.042,38.265,39.858,39.967,42.028,42.028
err_lambda_infer_collection_2,308,309,True,8.14,39.496,40.932,41.04,42.896,42.896
err_lambda_infer_class_helper,278,279,True,8.132,36.79,37.938,38.946,39.259,39.259
err_lambda_infer_interface_helper,304,305,True,8.085,43.817,45.803,45.914,46.908,46.908
