name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.059,46.498,47.646,47.996,49.012,49.012
err_assign_let,425,426,True,7.943,54.842,55.943,56.929,56.967,56.967
err_arity,374,375,True,8.084,45.876,46.769,47.966,48.897,48.897
err_if_not_bool,306,307,True,8.025,38.273,39.887,39.985,40.922,40.922
err_break,356,357,True,8.048,45.52,46.937,47.048,47.952,47.952
err_type_mismatch,346,347,True,8.144,44.314,45.922,46.003,56.993,56.993
err_continue_outside_loop,347,348,True,8.128,46.912,47.804,48.899,51.009,51.009
err_return_type_mismatch,18,19,True,8.043,9.437,10.847,10.999,11.889,11.889
err_duplicate_var,54,55,True,8.074,11.094,12.923,12.995,14.006,14.006
err_arraylist_toarray_assign,309,310,True,8.052,41.34,42.877,42.979,44.975,44.975
err_unary_minus_non_numeric,293,294,True,8.041,39.132,40.852,40.971,41.917,41.917
err_eq_incomparable,296,297,True,8.225,36.544,36.977,38.022,41.005,41.005
err_rel_mixed_numeric,281,282,True,8.043,33.714,34.952,35.934,35.995,35.995
err_mod_non_int64,272,273,True,8.006,31.999,32.971,33.933,33.981,33.981
err_range_non_int,285,286,True,8.066,34.256,35.901,36.105,37.946,37.946
err_for_not_iterable,279,280,True,8.037,32.576,33.91,34.049,34.979,34.979
err_for_pattern_map_bad,308,309,True,8.152,38.242,39.963,40.094,40.938,40.938
err_array_index_not_int64,367,368,True,8.092,44.812,45.994,46.919,47.95,47.95
err_array_fill_type,345,346,True,8.11,43.114,44.959,44.975,46.965,46.965
err_string_contains_arg,312,313,True,8.051,41.141,41.95,42.939,43.976,43.976
err_ctor_call_mismatch,347,348,True,8.039,42.113,43.014,43.951,45.017,45.017
err_generic_arity,329,330,True,8.046,41.114,42.921,42.985,44.954,44.954
err_interface_not_implemented,57,58,True,7.968,12.25,13.711,13.964,14.008,14.008
err_interface_sig_mismatch,32,33,True,8.14,10.672,11.967,12.88,12.97,12.97
err_no_member,279,280,True,8.091,36.538,37.953,38.064,41.928,41.928
err_unknown_named_arg,298,299,True,8.131,37.065,38.808,38.958,39.903,39.903
err_index_non_array,270,271,True,8.056,32.407,33.918,33.998,36.984,36.984
err_unary_not_non_bool,258,259,True,8.045,30.686,31.985,32.902,33.941,33.941
err_while_not_bool,280,281,True,8.023,33.658,34.881,35.934,36.954,36.954
err_arraylist_add_type,293,294,True,8.008,39.126,40.735,40.952,41.948,41.948
err_hashmap_key_type,297,298,True,8.048,39.955,40.934,41.811,42.941,42.941
err_bound_var_mismatch,273,274,True,8.078,34.703,35.943,36.927,43.961,43.961
err_rel_unordered,270,271,True,8.024,33.966,35.889,35.937,36.913,36.913
err_interface_as_value,240,241,True,8.062,31.723,32.988,33.949,33.971,33.971
err_arith_non_numeric,347,348,True,8.09,43.003,43.9,44.967,47.948,47.948
err_lambda_arg_arity_explicit,340,341,True,8.092,40.375,41.939,42.007,43.115,43.115
err_lambda_return_type_explicit,314,315,True,8.057,38.088,39.017,39.972,40.907,40.907
err_lambda_zero_body_explicit,258,259,True,8.06,32.989,34.057,34.923,35.276,35.276
err_lambda_hof_explicit,380,381,True,8.067,50.19,50.905,51.906,53.955,53.955
err_lambda_interface_callback_explicit,341,342,True,8.082,50.433,51.96,52.252,56.009,56.009
err_lambda_in_class_static_explicit,264,265,True,8.058,36.48,37.817,37.984,39.879,39.879
err_lambda_param_narrow_explicit,306,307,True,8.047,37.862,38.951,39.952,40.013,40.013
err_lambda_infer_ambiguous_1,307,308,True,8.068,36.805,37.963,38.945,40.957,40.957
err_lambda_infer_ambiguous_2,353,354,True,8.069,42.453,43.973,44.198,45.01,45.01
err_lambda_infer_wrong_return_1,255,256,True,8.075,32.688,33.962,34.897,36.962,36.962
err_lambda_infer_wrong_return_2,348,349,True,8.002,41.876,42.956,43.943,45.977,45.977
err_lambda_infer_collection_1,289,290,True,8.105,39.284,40.929,40.982,42.008,42.008
err_lambda_infer_collection_2,308,309,True,8.05,40.53,41.932,42.003,42.969,42.969
err_lambda_infer_class_helper,278,279,True,8.063,37.512,38.953,39.023,41.968,41.968
err_lambda_infer_interface_helper,304,305,True,8.04,45.26,46.014,46.941,47.91,47.91
