name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.162,46.067,47.916,47.968,48.956,48.956
err_assign_let,425,426,True,8.121,54.464,55.932,56.019,59.925,59.925
err_arity,374,375,True,8.194,45.216,45.919,46.97,49.153,49.153
err_if_not_bool,306,307,True,8.139,37.946,38.982,39.938,40.954,40.954
err_break,356,357,True,8.105,44.93,45.958,46.931,50.043,50.043
err_type_mismatch,346,347,True,8.181,43.871,44.789,45.909,46.985,46.985
err_continue_outside_loop,347,348,True,8.189,46.554,47.969,48.008,83.917,83.917
err_return_type_mismatch,18,19,True,8.104,9.438,10.947,10.974,11.02,11.02
err_duplicate_var,54,55,True,8.153,11.044,12.924,12.982,13.179,13.179
err_arraylist_toarray_assign,309,310,True,8.12,40.715,42.179,42.899,43.003,43.003
err_unary_minus_non_numeric,293,294,True,8.274,38.874,40.915,40.954,41.045,41.045
err_eq_incomparable,296,297,True,8.116,35.924,36.945,37.934,37.993,37.993
err_rel_mixed_numeric,281,282,True,8.167,33.391,34.008,35.009,35.987,35.987
err_mod_non_int64,272,273,True,8.113,31.702,32.95,33.937,35.028,35.028
err_range_non_int,285,286,True,8.277,34.093,35.004,35.953,36.948,36.948
err_for_not_iterable,279,280,True,8.187,32.25,33.805,34.058,35.875,35.875
err_for_pattern_map_bad,308,309,True,8.119,37.912,31.049,39.915,39.978,39.978
err_array_index_not_int64,367,368,True,8.176,44.428,45.885,45.996,62.939,62.939
err_array_fill_type,345,346,True,8.108,42.845,43.981,44.98,45.952,45.952
err_string_contains_arg,312,313,True,8.11,40.912,41.96,42.981,46.033,46.033
err_ctor_call_mismatch,347,348,True,8.089,41.184,42.893,42.972,43.905,43.905
err_generic_arity,329,330,True,8.178,40.709,41.902,42.818,43.967,43.967
err_interface_not_implemented,57,58,True,8.146,12.387,13.855,13.985,15.054,15.054
err_interface_sig_mismatch,32,33,True,8.137,10.539,11.919,12.015,13.226,13.226
err_no_member,279,280,True,8.105,36.41,37.949,38.001,39.215,39.215
err_unknown_named_arg,298,299,True,8.219,36.899,37.992,38.976,39.965,39.965
err_index_non_array,270,271,True,8.149,32.017,33.002,33.978,37.191,37.191
err_unary_not_non_bool,258,259,True,8.13,30.455,31.928,32.017,33.961,33.961
err_while_not_bool,280,281,True,8.179,33.262,34.943,34.972,36.165,36.165
err_arraylist_add_type,293,294,True,8.218,38.875,39.963,40.906,42.979,42.979
err_hashmap_key_type,297,298,True,8.157,39.243,40.915,40.994,43.905,43.905
err_bound_var_mismatch,273,274,True,8.158,34.346,35.033,35.997,36.997,36.997
err_rel_unordered,270,271,True,8.087,33.723,34.887,35.89,36.995,36.995
err_interface_as_value,240,241,True,8.122,31.633,32.948,33.892,34.958,34.958
err_arith_non_numeric,347,348,True,8.096,42.329,42.922,44.035,80.946,80.946
err_lambda_arg_arity_explicit,340,341,True,8.122,39.772,40.938,41.901,41.968,41.968
err_lambda_return_type_explicit,314,315,True,8.122,37.644,39.041,39.93,41.935,41.935
err_lambda_zero_body_explicit,258,259,True,8.134,33.08,33.963,34.92,36.005,36.005
err_lambda_hof_explicit,380,381,True,8.108,49.385,50.724,50.952,52.911,52.911
err_lambda_interface_callback_explicit,341,342,True,8.225,49.914,50.889,51.936,85.974,85.974
err_lambda_in_class_static_explicit,264,265,True,8.105,35.855,36.987,37.928,37.988,37.988
err_lambda_param_narrow_explicit,306,307,True,8.088,37.324,38.822,38.986,39.975,39.975
err_lambda_infer_ambiguous_1,307,308,True,8.125,37.917,37.984,39.909,42.012,42.012
err_lambda_infer_ambiguous_2,353,354,True,8.191,42.521,43.772,44.051,45.887,45.887
err_lambda_infer_wrong_return_1,255,256,True,8.181,32.561,33.925,34.028,36.04,36.04
err_lambda_infer_wrong_return_2,348,349,True,8.14,41.834,42.907,43.928,48.015,48.015
err_lambda_infer_collection_1,289,290,True,8.185,39.017,40.025,40.959,41.165,41.165
err_lambda_infer_collection_2,308,309,True,8.094,40.321,40.976,41.994,43.963,43.963
err_lambda_infer_class_helper,278,279,True,8.06,37.33,38.919,38.963,39.984,39.984
err_lambda_infer_interface_helper,304,305,True,8.149,44.747,45.916,46.918,49.953,49.953
