name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.166,46.32,46.944,47.993,65.027,65.027
err_assign_let,425,426,True,8.25,54.657,54.979,56.908,92.96,92.96
err_arity,374,375,True,8.2,45.841,46.036,47.908,51.909,51.909
err_if_not_bool,306,307,True,8.104,37.855,38.956,39.929,43.937,43.937
err_break,356,357,True,8.155,45.648,45.955,47.928,52.938,52.938
err_type_mismatch,346,347,True,8.151,43.935,44.913,45.883,60.958,60.958
err_continue_outside_loop,347,348,True,8.396,46.327,47.002,47.982,53.972,53.972
err_return_type_mismatch,18,19,True,8.128,9.472,10.955,11.026,12.1,12.1
err_duplicate_var,54,55,True,8.079,10.983,12.84,12.95,13.895,13.895
err_arraylist_toarray_assign,309,310,True,8.046,40.686,41.983,42.939,45.96,45.96
err_unary_minus_non_numeric,293,294,True,8.144,39.832,40.925,41.895,44.012,44.012
err_eq_incomparable,296,297,True,8.068,36.076,36.968,37.95,41.908,41.908
err_rel_mixed_numeric,281,282,True,8.074,33.567,34.034,35.079,38.143,38.143
err_mod_non_int64,272,273,True,8.109,32.038,32.935,33.92,37.977,37.977
err_range_non_int,285,286,True,7.991,33.556,34.933,35.009,38.984,38.984
err_for_not_iterable,279,280,True,8.084,32.681,33.004,34.893,69.849,69.849
err_for_pattern_map_bad,308,309,True,8.21,38.044,39.01,39.961,42.923,42.923
err_array_index_not_int64,367,368,True,8.123,45.919,45.036,48.187,49.987,49.987
err_array_fill_type,345,346,True,8.077,42.153,42.947,43.952,47.996,47.996
err_string_contains_arg,312,313,True,8.278,41.23,41.899,42.943,45.936,45.936
err_ctor_call_mismatch,347,348,True,8.367,41.558,41.947,42.94,47.017,47.017
err_generic_arity,329,330,True,8.055,40.163,41.93,42.024,46.022,46.022
err_interface_not_implemented,57,58,True,8.287,12.612,13.927,14.9,15.053,15.053
err_interface_sig_mismatch,32,33,True,8.17,10.547,11.965,12.012,13.092,13.092
err_no_member,279,280,True,8.103,36.155,37.026,37.964,39.92,39.92
err_unknown_named_arg,298,299,True,8.076,36.536,37.921,38.04,41.901,41.901
err_index_non_array,270,271,True,8.101,32.271,32.946,33.989,35.847,35.847
err_unary_not_non_bool,258,259,True,8.2,30.351,31.855,32.159,39.718,39.718
err_while_not_bool,280,281,True,8.102,33.131,33.923,34.956,37.999,37.999
err_arraylist_add_type,293,294,True,8.099,38.19,39.818,39.986,41.069,41.069
err_hashmap_key_type,297,298,True,8.083,38.639,39.955,40.942,44.055,44.055
err_bound_var_mismatch,273,274,True,8.328,34.618,34.946,36.905,39.06,39.06
err_rel_unordered,270,271,True,8.055,33.843,34.92,35.934,37.947,37.947
err_interface_as_value,240,241,True,8.215,31.534,31.984,33.065,42.213,42.213
err_arith_non_numeric,347,348,True,8.082,41.926,42.999,43.917,47.986,47.986
err_lambda_arg_arity_explicit,340,341,True,8.114,40.134,40.914,42.009,44.889,44.889
err_lambda_return_type_explicit,314,315,True,8.139,37.897,38.835,39.959,63.74,63.74
err_lambda_zero_body_explicit,258,259,True,8.048,32.438,33.916,34.063,37.004,37.004
err_lambda_hof_explicit,380,381,True,8.132,49.741,50.062,51.868,56.002,56.002
err_lambda_interface_callback_explicit,341,342,True,8.02,49.804,50.919,51.938,55.959,55.959
err_lambda_in_class_static_explicit,264,265,True,8.079,35.771,36.965,37.717,40.03,40.03
err_lambda_param_narrow_explicit,306,307,True,8.191,37.727,38.897,39.866,42.011,42.011
err_lambda_infer_ambiguous_1,307,308,True,8.193,36.385,37.864,37.983,40.013,40.013
err_lambda_infer_ambiguous_2,353,354,True,8.112,42.696,42.958,44.885,80.94,80.94
err_lambda_infer_wrong_return_1,255,256,True,8.076,32.323,33.035,33.952,67.962,67.962
err_lambda_infer_wrong_return_2,348,349,True,8.038,41.775,42.872,43.905,47.961,47.961
err_lambda_infer_collection_1,289,290,True,8.052,39.087,39.933,40.9,43.974,43.974
err_lambda_infer_collection_2,308,309,True,8.095,40.522,40.968,41.984,76.998,76.998
err_lambda_infer_class_helper,278,279,True,8.123,37.716,38.015,39.859,42.962,42.962
err_lambda_infer_interface_helper,304,305,True,8.158,44.745,45.918,46.905,54.074,54.074
