name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,7.926,43.534,44.999,45.048,47.188,47.188
err_assign_let,425,426,True,7.981,51.591,52.935,53.004,55.992,55.992
err_arity,374,375,True,7.866,42.666,43.992,44.912,46.967,46.967
err_if_not_bool,306,307,True,8.023,36.293,37.079,37.992,38.951,38.951
err_break,356,357,True,7.905,42.572,43.907,44.023,45.997,45.997
err_type_mismatch,346,347,True,7.904,41.387,42.953,43.039,43.972,43.972
err_continue_outside_loop,347,348,True,7.937,43.945,44.907,45.948,81.938,81.938
err_return_type_mismatch,18,19,True,7.846,9.176,10.935,10.986,11.104,11.104
err_duplicate_var,54,55,True,7.974,10.958,12.896,12.927,14.911,14.911
err_arraylist_toarray_assign,309,310,True,7.869,38.75,39.953,40.887,41.019,41.019
err_unary_minus_non_numeric,293,294,True,7.925,37.242,38.92,38.961,39.985,39.985
err_eq_incomparable,296,297,True,7.954,34.393,35.801,35.989,36.976,36.976
err_rel_mixed_numeric,281,282,True,7.832,31.792,33.029,33.91,34.009,34.009
err_mod_non_int64,272,273,True,8.047,30.306,31.916,32.045,34.127,34.127
err_range_non_int,285,286,True,7.951,32.367,33.892,33.959,35.952,35.952
err_for_not_iterable,279,280,True,7.847,30.778,31.904,32.744,33.902,33.902
err_for_pattern_map_bad,308,309,True,7.881,35.914,36.956,37.953,39.035,39.035
err_array_index_not_int64,367,368,True,7.914,41.936,43.862,43.952,62.004,62.004
err_array_fill_type,345,346,True,7.872,40.286,41.877,41.988,43.911,43.911
err_string_contains_arg,312,313,True,8.068,38.57,39.981,40.819,73.951,73.951
err_ctor_call_mismatch,347,348,True,7.903,39.025,40.9,41.005,47.071,47.071
err_generic_arity,329,330,True,7.951,38.921,39.948,40.963,42.909,42.909
err_interface_not_implemented,57,58,True,7.903,12.015,13.667,13.975,14.019,14.019
err_interface_sig_mismatch,32,33,True,7.915,10.322,11.9,11.978,12.921,12.921
err_no_member,279,280,True,7.889,34.599,35.913,36.919,37.91,37.91
err_unknown_named_arg,298,299,True,7.934,34.941,36.061,36.952,38.928,38.928
err_index_non_array,270,271,True,7.957,30.653,31.991,32.95,33.029,33.029
err_unary_not_non_bool,258,259,True,7.851,29.081,30.908,31.038,32.16,32.16
err_while_not_bool,280,281,True,7.874,31.524,32.949,33.087,33.989,33.989
err_arraylist_add_type,293,294,True,7.935,36.835,38.035,38.946,38.982,38.982
err_hashmap_key_type,297,298,True,7.833,37.243,38.882,38.958,40.99,40.99
err_bound_var_mismatch,273,274,True,7.926,32.669,34.003,34.925,35.047,35.047
err_rel_unordered,270,271,True,7.843,32.11,33.926,33.973,35.965,35.965
err_interface_as_value,240,241,True,7.877,29.764,31.043,31.92,35.204,35.204
err_arith_non_numeric,347,348,True,7.889,40.038,41.0,42.024,43.955,43.955
err_lambda_arg_arity_explicit,340,341,True,7.937,37.636,38.938,39.922,41.997,41.997
err_lambda_return_type_explicit,314,315,True,7.883,35.74,36.951,37.928,38.037,38.037
err_lambda_zero_body_explicit,258,259,True,7.907,31.135,32.907,32.975,36.902,36.902
err_lambda_hof_explicit,380,381,True,7.862,46.726,47.979,48.952,62.017,62.017
err_lambda_interface_callback_explicit,341,342,True,7.884,47.265,48.783,49.039,52.084,52.084
err_lambda_in_class_static_explicit,264,265,True,7.964,34.437,35.872,36.01,38.002,38.002
err_lambda_param_narrow_explicit,306,307,True,7.885,35.507,36.984,37.028,38.007,38.007
err_lambda_infer_ambiguous_1,307,308,True,7.855,34.371,35.903,35.962,36.833,36.833
err_lambda_infer_ambiguous_2,353,354,True,7.874,40.369,41.938,41.981,42.98,42.98
err_lambda_infer_wrong_return_1,255,256,True,7.881,30.604,31.029,32.03,33.188,33.188
err_lambda_infer_wrong_return_2,348,349,True,8.178,39.559,40.907,41.057,43.009,43.009
err_lambda_infer_collection_1,289,290,True,7.859,36.586,37.962,38.025,39.15,39.15
err_lambda_infer_collection_2,308,309,True,7.868,37.885,39.059,39.944,76.029,76.029
err_lambda_infer_class_helper,278,279,True,7.904,35.176,36.699,36.944,40.017,40.017
err_lambda_infer_interface_helper,304,305,True,7.903,42.401,43.957,43.993,44.927,44.927
