name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.128,46.361,48.016,48.196,48.915,48.915
err_assign_let,425,426,True,8.115,54.914,56.316,56.964,59.032,59.032
err_arity,374,375,True,8.098,45.942,47.843,47.954,49.928,49.928
err_if_not_bool,306,307,True,8.181,38.448,39.821,40.22,41.038,41.038
err_break,356,357,True,8.167,45.794,46.849,47.956,48.51,48.51
err_type_mismatch,346,347,True,8.118,44.165,45.854,46.016,46.922,46.922
err_continue_outside_loop,347,348,True,8.18,46.578,47.898,48.794,49.08,49.08
err_return_type_mismatch,18,19,True,8.072,9.457,11.064,11.156,11.89,11.89
err_duplicate_var,54,55,True,8.161,11.122,12.914,13.072,13.756,13.756
err_arraylist_toarray_assign,309,310,True,8.148,41.187,42.071,43.039,43.506,43.506
err_unary_minus_non_numeric,293,294,True,8.214,39.339,40.972,41.191,52.598,52.598
err_eq_incomparable,296,297,True,8.104,36.137,37.864,37.972,39.364,39.364
err_rel_mixed_numeric,281,282,True,8.146,33.667,35.116,35.849,37.144,37.144
err_mod_non_int64,272,273,True,8.219,32.04,33.883,34.022,34.439,34.439
err_range_non_int,285,286,True,8.144,34.167,35.785,36.039,37.062,37.062
err_for_not_iterable,279,280,True,8.127,32.575,33.969,34.803,35.814,35.814
err_for_pattern_map_bad,308,309,True,8.095,38.124,39.961,40.071,41.917,41.917
err_array_index_not_int64,367,368,True,8.202,45.087,46.703,47.041,48.956,48.956
err_array_fill_type,345,346,True,8.114,43.004,44.761,44.973,45.826,45.826
err_string_contains_arg,312,313,True,8.148,41.337,42.906,43.113,43.931,43.931
err_ctor_call_mismatch,347,348,True,8.149,41.83,43.107,43.852,44.114,44.114
err_generic_arity,329,330,True,8.148,41.132,42.819,43.002,45.016,45.016
err_interface_not_implemented,57,58,True,8.232,12.529,14.173,14.798,50.845,50.845
err_interface_sig_mismatch,32,33,True,8.148,10.646,12.201,12.877,13.466,13.466
err_no_member,279,280,True,8.203,36.791,38.03,38.857,72.948,72.948
err_unknown_named_arg,298,299,True,8.037,37.062,38.472,39.108,41.03,41.03
err_index_non_array,270,271,True,8.095,32.58,34.009,34.764,36.234,36.234
err_unary_not_non_bool,258,259,True,8.15,30.705,32.002,32.857,33.438,33.438
err_while_not_bool,280,281,True,8.158,33.499,34.992,35.792,36.022,36.022
err_arraylist_add_type,293,294,True,8.094,39.117,40.808,40.956,42.206,42.206
err_hashmap_key_type,297,298,True,8.177,39.506,40.994,41.791,43.122,43.122
err_bound_var_mismatch,273,274,True,8.109,34.459,35.902,36.713,36.986,36.986
err_rel_unordered,270,271,True,8.157,34.071,35.755,36.034,36.684,36.684
err_interface_as_value,240,241,True,8.143,31.804,33.158,33.921,35.112,35.112
err_arith_non_numeric,347,348,True,8.121,42.61,44.065,44.769,47.112,47.112
err_lambda_arg_arity_explicit,340,341,True,8.246,40.207,41.831,42.024,45.158,45.158
err_lambda_return_type_explicit,314,315,True,8.12,37.854,38.943,39.882,41.861,41.861
err_lambda_zero_body_explicit,258,259,True,8.084,32.852,34.787,34.987,35.341,35.341
err_lambda_hof_explicit,380,381,True,8.286,50.082,50.918,51.978,53.266,53.266
err_lambda_interface_callback_explicit,341,342,True,8.193,50.575,51.888,52.863,54.936,54.936
err_lambda_in_class_static_explicit,264,265,True,8.154,36.279,37.985,38.073,40.968,40.968
err_lambda_param_narrow_explicit,306,307,True,8.116,37.769,39.778,39.889,40.204,40.204
err_lambda_infer_ambiguous_1,307,308,True,8.138,36.88,38.088,39.008,39.825,39.825
err_lambda_infer_ambiguous_2,353,354,True,8.077,42.541,44.041,44.834,45.081,45.081
err_lambda_infer_wrong_return_1,255,256,True,8.139,32.613,33.986,34.835,35.11,35.11
err_lambda_infer_wrong_return_2,348,349,True,8.087,41.672,43.225,43.951,44.053,44.053
err_lambda_infer_collection_1,289,290,True,8.178,39.026,40.818,41.01,41.851,41.851
err_lambda_infer_collection_2,308,309,True,8.212,40.571,41.931,42.793,45.036,45.036
err_lambda_infer_class_helper,278,279,True,8.179,37.338,38.973,39.143,41.793,41.793
err_lambda_infer_interface_helper,304,305,True,8.113,45.08,46.538,46.979,48.211,48.211
