name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.166,47.442,48.876,49.321,52.012,52.012
err_assign_let,425,426,True,8.201,56.313,57.624,58.137,60.034,60.034
err_arity,374,375,True,8.218,46.022,47.918,48.028,49.956,49.956
err_if_not_bool,306,307,True,8.174,38.775,40.619,40.902,41.873,41.873
err_break,356,357,True,8.234,46.406,47.918,48.148,50.922,50.922
err_type_mismatch,346,347,True,8.143,44.453,45.967,46.087,47.932,47.932
err_continue_outside_loop,347,348,True,8.17,47.513,48.903,49.746,51.867,51.867
err_return_type_mismatch,18,19,True,8.303,9.684,11.793,11.921,20.052,20.052
err_duplicate_var,54,55,True,8.248,11.257,13.003,13.13,14.439,14.439
err_arraylist_toarray_assign,309,310,True,8.248,42.04,43.016,44.006,45.011,45.011
err_unary_minus_non_numeric,293,294,True,8.236,39.816,41.078,41.938,44.048,44.048
err_eq_incomparable,296,297,True,8.167,36.916,38.148,38.941,39.038,39.038
err_rel_mixed_numeric,281,282,True,8.18,34.218,35.889,35.99,70.003,70.003
err_mod_non_int64,272,273,True,8.229,32.467,33.699,34.075,35.973,35.973
err_range_non_int,285,286,True,8.288,34.578,36.136,36.879,39.127,39.127
err_for_not_iterable,279,280,True,8.22,33.087,34.924,35.131,36.083,36.083
err_for_pattern_map_bad,308,309,True,8.221,38.58,40.031,40.922,43.822,43.822
err_array_index_not_int64,367,368,True,8.234,45.499,47.054,47.75,48.011,48.011
err_array_fill_type,345,346,True,8.34,43.72,45.119,45.957,48.019,48.019
err_string_contains_arg,312,313,True,8.254,41.773,43.029,43.905,44.264,44.264
err_ctor_call_mismatch,347,348,True,8.18,42.08,43.0,44.053,44.923,44.923
err_generic_arity,329,330,True,8.225,41.894,43.094,43.928,44.035,44.035
err_interface_not_implemented,57,58,True,8.189,12.57,14.151,14.805,15.449,15.449
err_interface_sig_mismatch,32,33,True,8.233,10.699,12.447,12.751,13.059,13.059
err_no_member,279,280,True,8.229,37.087,38.938,38.995,40.333,40.333
err_unknown_named_arg,298,299,True,8.237,37.561,38.975,39.75,40.766,40.766
err_index_non_array,270,271,True,8.226,32.857,34.051,35.125,36.821,36.821
err_unary_not_non_bool,258,259,True,8.246,30.864,32.743,32.921,33.3,33.3
err_while_not_bool,280,281,True,8.169,33.933,35.8,35.977,37.177,37.177
err_arraylist_add_type,293,294,True,8.158,39.572,41.042,41.812,42.035,42.035
err_hashmap_key_type,297,298,True,8.193,40.287,42.024,42.079,45.144,45.144
err_bound_var_mismatch,273,274,True,8.21,34.867,36.737,36.965,37.433,37.433
err_rel_unordered,270,271,True,8.283,34.55,35.985,36.531,38.087,38.087
err_interface_as_value,240,241,True,8.243,32.184,33.893,34.038,35.359,35.359
err_arith_non_numeric,347,348,True,8.219,43.652,44.953,45.874,48.905,48.905
err_lambda_arg_arity_explicit,340,341,True,8.229,40.921,41.993,42.957,45.446,45.446
err_lambda_return_type_explicit,314,315,True,8.235,38.432,40.023,40.139,44.008,44.008
err_lambda_zero_body_explicit,258,259,True,8.154,33.388,35.026,35.119,36.038,36.038
err_lambda_hof_explicit,380,381,True,8.224,50.522,52.02,52.732,54.82,54.82
err_lambda_interface_callback_explicit,341,342,True,8.32,51.143,52.987,53.482,55.0,55.0
err_lambda_in_class_static_explicit,264,265,True,8.183,36.894,38.81,38.958,40.888,40.888
err_lambda_param_narrow_explicit,306,307,True,8.268,38.38,39.823,40.748,42.974,42.974
err_lambda_infer_ambiguous_1,307,308,True,8.199,37.339,38.848,39.131,40.972,40.972
err_lambda_infer_ambiguous_2,353,354,True,8.197,43.302,44.94,45.087,46.888,46.888
err_lambda_infer_wrong_return_1,255,256,True,8.254,33.1,34.958,35.033,35.968,35.968
err_lambda_infer_wrong_return_2,348,349,True,8.157,42.61,44.08,44.833,44.937,44.937
err_lambda_infer_collection_1,289,290,True,8.211,39.934,41.046,41.91,42.135,42.135
err_lambda_infer_collection_2,308,309,True,8.222,40.972,42.139,42.955,44.898,44.898
err_lambda_infer_class_helper,278,279,True,8.226,37.908,39.251,40.008,40.906,40.906
err_lambda_infer_interface_helper,304,305,True,8.152,45.765,47.232,47.86,48.979,48.979
