name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,7.815,38.112,39.915,40.015,41.057,41.057
err_assign_let,425,426,True,7.826,44.053,44.962,45.945,47.107,47.107
err_arity,374,375,True,7.793,36.924,38.846,38.959,40.191,40.191
err_if_not_bool,306,307,True,7.833,31.863,33.057,33.97,34.472,34.472
err_break,356,357,True,7.801,36.395,37.871,38.092,39.063,39.063
err_type_mismatch,346,347,True,7.839,36.299,37.899,38.272,39.08,39.08
err_continue_outside_loop,347,348,True,7.883,37.933,38.891,39.982,40.853,40.853
err_return_type_mismatch,18,19,True,7.83,9.027,10.837,11.016,11.979,11.979
err_duplicate_var,54,55,True,7.824,10.491,12.083,12.74,13.391,13.391
err_arraylist_toarray_assign,309,310,True,7.819,34.357,35.686,36.053,36.937,36.937
err_unary_minus_non_numeric,293,294,True,7.828,32.325,33.957,34.208,35.312,35.312
err_eq_incomparable,296,297,True,7.831,30.239,31.822,32.092,32.859,32.859
err_rel_mixed_numeric,281,282,True,7.813,28.354,29.938,30.381,30.957,30.957
err_mod_non_int64,272,273,True,7.84,26.868,28.279,28.967,29.155,29.155
err_range_non_int,285,286,True,7.819,28.405,30.016,30.099,30.933,30.933
err_for_not_iterable,279,280,True,7.825,27.403,28.964,29.108,30.368,30.368
err_for_pattern_map_bad,308,309,True,7.797,31.583,32.971,33.814,34.355,34.355
err_array_index_not_int64,367,368,True,7.841,36.786,37.824,38.834,39.973,39.973
err_array_fill_type,345,346,True,7.859,34.783,36.793,36.971,37.853,37.853
err_string_contains_arg,312,313,True,7.854,33.889,35.801,35.94,36.739,36.739
err_ctor_call_mismatch,347,348,True,7.846,34.273,35.869,35.979,36.786,36.786
err_generic_arity,329,330,True,7.812,33.41,34.926,35.146,35.826,35.826
err_interface_not_implemented,57,58,True,7.843,11.409,12.987,13.178,14.516,14.516
err_interface_sig_mismatch,32,33,True,7.813,9.999,11.911,12.01,46.719,46.719
err_no_member,279,280,True,7.847,30.186,31.838,32.043,32.899,32.899
err_unknown_named_arg,298,299,True,7.844,30.65,32.246,32.875,68.153,68.153
err_index_non_array,270,271,True,7.889,27.29,28.582,29.094,29.982,29.982
err_unary_not_non_bool,258,259,True,7.803,25.696,27.048,27.886,28.694,28.694
err_while_not_bool,280,281,True,7.802,28.14,29.657,29.96,30.158,30.158
err_arraylist_add_type,293,294,True,7.852,32.349,33.928,34.14,35.022,35.022
err_hashmap_key_type,297,298,True,7.775,32.423,33.893,34.155,35.281,35.281
err_bound_var_mismatch,273,274,True,7.794,28.726,30.211,30.842,30.959,30.959
err_rel_unordered,270,271,True,7.883,28.145,29.867,30.002,30.893,30.893
err_interface_as_value,240,241,True,7.837,26.408,27.934,28.78,32.178,32.178
err_arith_non_numeric,347,348,True,7.843,34.475,35.958,36.813,37.596,37.596
err_lambda_arg_arity_explicit,340,341,True,7.837,32.388,33.875,34.182,35.1,35.1
err_lambda_return_type_explicit,314,315,True,7.823,30.746,32.069,32.876,33.029,33.029
err_lambda_zero_body_explicit,258,259,True,7.82,26.867,28.8,28.963,63.823,63.823
err_lambda_hof_explicit,380,381,True,7.816,39.504,41.13,41.759,42.246,42.246
err_lambda_interface_callback_explicit,341,342,True,7.818,40.88,42.037,42.919,43.109,43.109
err_lambda_in_class_static_explicit,264,265,True,7.856,29.637,31.698,31.845,32.705,32.705
err_lambda_param_narrow_explicit,306,307,True,7.815,30.537,31.996,32.799,33.122,33.122
err_lambda_infer_ambiguous_1,307,308,True,7.826,30.0,31.779,31.968,32.308,32.308
err_lambda_infer_ambiguous_2,353,354,True,7.898,34.479,36.036,36.812,36.991,36.991
err_lambda_infer_wrong_return_1,255,256,True,7.814,26.626,27.338,28.817,28.971,28.971
err_lambda_infer_wrong_return_2,348,349,True,7.822,33.132,34.771,35.008,36.002,36.002
err_lambda_infer_collection_1,289,290,True,7.817,31.753,33.066,33.906,68.019,68.019
err_lambda_infer_collection_2,308,309,True,7.802,33.03,34.791,35.098,35.23,35.23
err_lambda_infer_class_helper,278,279,True,7.843,30.151,31.967,32.038,32.881,32.881
err_lambda_infer_interface_helper,304,305,True,7.824,36.281,37.856,38.107,38.859,38.859
