name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,7.336,37.602,38.885,39.777,39.988,39.988
err_assign_let,425,426,True,7.339,43.497,44.891,45.661,46.071,46.071
err_arity,374,375,True,7.316,36.382,37.721,38.145,38.931,38.931
err_if_not_bool,306,307,True,7.292,31.438,32.981,33.652,33.903,33.903
err_break,356,357,True,7.291,35.505,36.994,37.821,38.391,38.391
err_type_mismatch,346,347,True,7.338,35.928,36.901,37.984,38.415,38.415
err_continue_outside_loop,347,348,True,7.322,37.029,38.607,38.995,42.047,42.047
err_return_type_mismatch,18,19,True,7.338,8.579,9.796,10.884,11.618,11.618
err_duplicate_var,54,55,True,7.319,10.005,11.791,11.979,12.119,12.119
err_arraylist_toarray_assign,309,310,True,7.314,33.643,35.129,35.914,35.998,35.998
err_unary_minus_non_numeric,293,294,True,7.349,31.83,33.777,33.913,35.129,35.129
err_eq_incomparable,296,297,True,7.339,29.55,31.082,31.825,32.459,32.459
err_rel_mixed_numeric,281,282,True,7.294,27.852,28.922,29.997,34.872,34.872
err_mod_non_int64,272,273,True,7.271,26.246,27.998,28.111,29.444,29.444
err_range_non_int,285,286,True,7.315,27.841,29.589,29.958,31.103,31.103
err_for_not_iterable,279,280,True,7.293,26.896,27.767,29.012,29.678,29.678
err_for_pattern_map_bad,308,309,True,7.315,30.828,31.978,32.966,33.809,33.809
err_array_index_not_int64,367,368,True,7.32,36.062,37.783,37.954,38.349,38.349
err_array_fill_type,345,346,True,7.311,34.321,35.862,36.056,36.725,36.725
err_string_contains_arg,312,313,True,7.328,33.364,34.969,35.17,70.405,70.405
err_ctor_call_mismatch,347,348,True,7.348,33.733,34.864,35.802,37.024,37.024
err_generic_arity,329,330,True,7.305,32.71,33.905,34.903,35.669,35.669
err_interface_not_implemented,57,58,True,7.305,11.29,12.945,13.097,13.823,13.823
err_interface_sig_mismatch,32,33,True,7.286,9.919,11.836,11.896,12.063,12.063
err_no_member,279,280,True,7.303,29.569,31.329,31.873,32.0,32.0
err_unknown_named_arg,298,299,True,7.32,30.014,31.882,32.067,32.871,32.871
err_index_non_array,270,271,True,7.299,26.71,28.285,28.824,29.762,29.762
err_unary_not_non_bool,258,259,True,7.302,25.209,26.878,27.081,27.872,27.872
err_while_not_bool,280,281,True,7.307,27.718,29.21,29.971,30.538,30.538
err_arraylist_add_type,293,294,True,7.293,31.591,32.98,33.68,33.885,33.885
err_hashmap_key_type,297,298,True,7.333,31.576,33.067,33.723,34.134,34.134
err_bound_var_mismatch,273,274,True,7.269,28.135,29.886,29.959,30.267,30.267
err_rel_unordered,270,271,True,7.314,27.539,28.988,29.742,29.988,29.988
err_interface_as_value,240,241,True,7.29,26.654,28.208,28.794,28.953,28.953
err_arith_non_numeric,347,348,True,7.324,34.036,35.787,35.97,36.129,36.129
err_lambda_arg_arity_explicit,340,341,True,7.285,31.55,33.117,33.711,33.997,33.997
err_lambda_return_type_explicit,314,315,True,7.268,29.862,31.784,31.87,32.001,32.001
err_lambda_zero_body_explicit,258,259,True,7.304,26.311,27.657,28.118,28.789,28.789
err_lambda_hof_explicit,380,381,True,7.298,38.967,40.602,40.999,41.069,41.069
err_lambda_interface_callback_explicit,341,342,True,7.304,41.4,42.92,43.12,44.515,44.515
err_lambda_in_class_static_explicit,264,265,True,7.748,29.888,30.891,31.894,32.076,32.076
err_lambda_param_narrow_explicit,306,307,True,7.331,29.805,31.55,31.957,32.89,32.89
err_lambda_infer_ambiguous_1,307,308,True,7.314,29.268,30.959,31.1,65.733,65.733
err_lambda_infer_ambiguous_2,353,354,True,7.307,33.721,35.098,35.903,36.23,36.23
err_lambda_infer_wrong_return_1,255,256,True,7.302,25.803,27.869,27.98,28.44,28.44
err_lambda_infer_wrong_return_2,348,349,True,7.324,32.452,34.015,34.384,68.528,68.528
err_lambda_infer_collection_1,289,290,True,7.332,31.091,32.624,33.042,33.202,33.202
err_lambda_infer_collection_2,308,309,True,7.304,32.476,34.071,34.538,35.536,35.536
err_lambda_infer_class_helper,278,279,True,7.771,30.343,31.573,32.326,32.851,32.851
err_lambda_infer_interface_helper,304,305,True,7.305,36.688,38.127,38.921,39.961,39.961
