name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,7.307,37.924,39.122,39.954,40.464,76.112
err_assign_let,425,426,True,7.284,43.631,44.943,45.818,45.97,47.002
err_arity,374,375,True,7.3,36.508,37.927,38.673,39.061,39.486
err_if_not_bool,306,307,True,7.321,31.625,33.013,33.812,33.995,34.535
err_break,356,357,True,7.266,35.882,37.135,37.976,38.191,38.834
err_type_mismatch,346,347,True,7.303,35.996,36.806,37.98,38.099,38.116
err_continue_outside_loop,347,348,True,7.296,37.063,38.651,39.018,39.165,39.753
err_return_type_mismatch,18,19,True,7.322,8.554,9.906,10.783,11.477,45.122
err_duplicate_var,54,55,True,7.311,10.014,11.792,11.976,12.401,12.429
err_arraylist_toarray_assign,309,310,True,7.289,33.752,35.17,35.906,35.949,36.013
err_unary_minus_non_numeric,293,294,True,7.328,31.944,33.217,33.962,34.217,34.256
err_eq_incomparable,296,297,True,7.307,29.834,30.953,31.85,32.922,33.082
err_rel_mixed_numeric,281,282,True,7.286,27.981,29.813,29.947,30.126,30.25
err_mod_non_int64,272,273,True,7.299,26.41,27.922,28.52,28.954,29.027
err_range_non_int,285,286,True,7.301,27.907,29.649,29.973,30.396,30.659
err_for_not_iterable,279,280,True,7.288,26.937,28.799,29.007,29.468,29.706
err_for_pattern_map_bad,308,309,True,7.303,31.038,32.781,33.001,34.728,34.882
err_array_index_not_int64,367,368,True,7.271,36.192,37.853,38.055,38.542,38.809
err_array_fill_type,345,346,True,7.283,34.367,35.885,36.11,37.019,37.531
err_string_contains_arg,312,313,True,7.316,33.384,34.512,35.17,35.974,36.248
err_ctor_call_mismatch,347,348,True,7.329,33.809,35.611,35.933,36.02,36.034
err_generic_arity,329,330,True,7.314,32.953,34.643,35.0,35.84,36.025
err_interface_not_implemented,57,58,True,7.304,11.352,12.828,13.081,14.386,14.451
err_interface_sig_mismatch,32,33,True,7.303,9.945,11.611,11.956,12.36,12.409
err_no_member,279,280,True,7.299,29.662,31.039,31.943,33.078,66.82
err_unknown_named_arg,298,299,True,7.306,30.122,31.872,32.032,32.88,33.018
err_index_non_array,270,271,True,7.296,26.749,27.997,28.86,29.479,29.804
err_unary_not_non_bool,258,259,True,7.313,25.379,26.885,27.16,27.856,27.88
err_while_not_bool,280,281,True,7.28,27.772,29.126,29.875,30.088,30.479
err_arraylist_add_type,293,294,True,7.329,31.775,33.309,33.882,34.211,34.36
err_hashmap_key_type,297,298,True,7.315,31.77,32.958,33.92,34.201,34.568
err_bound_var_mismatch,273,274,True,7.292,28.361,29.826,30.139,30.858,31.486
err_rel_unordered,270,271,True,7.328,27.67,29.062,29.841,30.13,30.616
err_interface_as_value,240,241,True,7.277,26.865,28.487,28.958,29.301,29.606
err_arith_non_numeric,347,348,True,7.313,34.041,35.696,36.013,36.579,36.883
err_lambda_arg_arity_explicit,340,341,True,7.288,31.852,32.967,33.986,34.545,35.059
err_lambda_return_type_explicit,314,315,True,7.31,29.899,31.015,31.996,32.915,33.023
err_lambda_zero_body_explicit,258,259,True,7.321,26.299,27.652,28.118,28.8,29.079
err_lambda_hof_explicit,380,381,True,7.292,39.13,40.212,41.008,42.948,77.763
err_lambda_interface_callback_explicit,341,342,True,7.292,41.388,42.79,43.165,44.46,78.137
err_lambda_in_class_static_explicit,264,265,True,7.764,30.029,31.349,31.981,32.54,32.901
err_lambda_param_narrow_explicit,306,307,True,7.315,30.042,31.48,32.018,32.173,32.819
err_lambda_infer_ambiguous_1,307,308,True,7.298,29.354,30.891,31.103,31.923,31.996
err_lambda_infer_ambiguous_2,353,354,True,7.297,34.013,35.687,35.989,36.451,71.862
err_lambda_infer_wrong_return_1,255,256,True,7.339,25.948,27.17,27.977,28.252,28.359
err_lambda_infer_wrong_return_2,348,349,True,7.331,32.437,34.041,34.777,35.075,68.954
err_lambda_infer_collection_1,289,290,True,7.296,31.321,32.889,33.092,33.912,34.854
err_lambda_infer_collection_2,308,309,True,7.3,32.658,33.846,34.841,34.941,35.641
err_lambda_infer_class_helper,278,279,True,7.743,30.502,31.946,32.197,32.951,32.996
err_lambda_infer_interface_helper,304,305,True,7.319,36.724,38.086,38.85,39.033,39.057
