name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,7.83,39.629,40.865,41.909,42.154,42.423
err_assign_let,425,426,True,7.82,45.603,46.968,47.784,48.08,48.755
err_arity,374,375,True,7.817,38.381,39.71,40.168,40.818,40.832
err_if_not_bool,306,307,True,7.842,33.154,34.787,35.025,35.749,35.918
err_break,356,357,True,7.836,37.758,38.986,39.917,40.282,40.786
err_type_mismatch,346,347,True,7.821,37.663,38.988,39.859,40.036,74.47
err_continue_outside_loop,347,348,True,7.821,38.857,40.443,40.919,41.134,42.145
err_return_type_mismatch,18,19,True,7.828,9.094,10.864,10.97,11.065,11.065
err_duplicate_var,54,55,True,7.866,10.696,11.813,12.905,13.618,48.8
err_arraylist_toarray_assign,309,310,True,7.836,35.319,36.826,37.16,37.896,37.924
err_unary_minus_non_numeric,293,294,True,7.841,33.378,35.008,35.567,35.894,36.015
err_eq_incomparable,296,297,True,7.816,31.231,32.851,33.074,33.846,33.982
err_rel_mixed_numeric,281,282,True,7.849,29.411,30.776,31.222,31.888,31.918
err_mod_non_int64,272,273,True,7.855,27.881,29.773,30.013,30.508,31.094
err_range_non_int,285,286,True,7.825,29.415,30.725,31.133,31.923,32.082
err_for_not_iterable,279,280,True,7.848,28.39,29.89,30.14,31.206,31.394
err_for_pattern_map_bad,308,309,True,7.821,32.59,34.061,34.838,35.286,71.79
err_array_index_not_int64,367,368,True,7.852,37.872,39.236,39.948,40.331,40.962
err_array_fill_type,345,346,True,7.859,36.277,37.887,38.059,39.03,39.057
err_string_contains_arg,312,313,True,7.832,34.944,36.817,36.994,37.736,37.748
err_ctor_call_mismatch,347,348,True,7.865,35.498,37.046,37.77,38.142,72.065
err_generic_arity,329,330,True,7.854,34.61,35.989,36.835,37.031,37.057
err_interface_not_implemented,57,58,True,7.841,11.577,13.056,13.827,14.398,14.805
err_interface_sig_mismatch,32,33,True,7.827,10.152,11.69,11.998,12.127,12.585
err_no_member,279,280,True,7.837,31.151,32.843,33.078,33.785,33.827
err_unknown_named_arg,298,299,True,7.835,31.728,33.128,33.869,34.07,34.085
err_index_non_array,270,271,True,7.851,28.14,29.839,30.018,31.646,32.717
err_unary_not_non_bool,258,259,True,7.876,26.758,28.189,28.957,29.13,29.623
err_while_not_bool,280,281,True,7.845,29.259,30.659,31.068,31.827,31.955
err_arraylist_add_type,293,294,True,7.878,33.301,34.864,35.064,35.738,35.752
err_hashmap_key_type,297,298,True,7.869,33.28,34.649,35.089,35.807,36.446
err_bound_var_mismatch,273,274,True,7.848,29.803,30.977,31.862,32.159,69.037
err_rel_unordered,270,271,True,7.83,29.08,30.849,31.105,31.561,32.943
err_interface_as_value,240,241,True,7.865,27.471,28.738,29.225,29.929,30.021
err_arith_non_numeric,347,348,True,7.847,35.786,37.506,37.899,38.0,38.14
err_lambda_arg_arity_explicit,340,341,True,7.87,33.467,34.804,35.509,35.902,35.978
err_lambda_return_type_explicit,314,315,True,7.81,31.403,32.911,33.595,33.958,33.973
err_lambda_zero_body_explicit,258,259,True,7.828,27.775,29.172,29.883,30.03,30.153
err_lambda_hof_explicit,380,381,True,7.873,41.08,42.444,42.994,43.583,43.774
err_lambda_interface_callback_explicit,341,342,True,7.878,42.417,43.803,44.22,45.278,46.477
err_lambda_in_class_static_explicit,264,265,True,7.833,30.584,31.951,32.787,32.999,33.112
err_lambda_param_narrow_explicit,306,307,True,7.862,31.69,33.086,33.925,34.959,35.806
err_lambda_infer_ambiguous_1,307,308,True,7.832,30.969,32.545,32.97,33.542,33.977
err_lambda_infer_ambiguous_2,353,354,True,7.838,35.599,36.993,37.831,38.077,38.385
err_lambda_infer_wrong_return_1,255,256,True,7.842,27.322,28.973,29.148,29.912,30.661
err_lambda_infer_wrong_return_2,348,349,True,7.851,34.154,35.858,36.06,36.916,36.955
err_lambda_infer_collection_1,289,290,True,7.879,32.839,34.147,34.906,35.023,35.12
err_lambda_infer_collection_2,308,309,True,7.845,34.253,35.908,36.083,36.858,36.958
err_lambda_infer_class_helper,278,279,True,7.824,31.059,32.658,33.031,33.16,33.729
err_lambda_infer_interface_helper,304,305,True,7.842,37.544,38.844,39.751,40.898,41.232
