name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,7.92,44.27,45.897,46.392,48.059,48.059
err_assign_let,425,426,True,7.923,51.744,52.898,53.751,54.823,54.823
err_arity,374,375,True,7.894,43.162,44.57,45.042,47.059,47.059
err_if_not_bool,306,307,True,7.877,36.203,37.94,38.37,40.795,40.795
err_break,356,357,True,7.944,42.994,44.039,45.032,45.287,45.287
err_type_mismatch,346,347,True,7.881,41.852,42.852,43.883,81.086,81.086
err_continue_outside_loop,347,348,True,7.932,44.166,45.051,46.064,47.541,47.541
err_return_type_mismatch,18,19,True,7.958,9.28,10.868,11.081,11.377,11.377
err_duplicate_var,54,55,True,7.998,10.971,12.798,12.973,13.903,13.903
err_arraylist_toarray_assign,309,310,True,7.936,39.126,40.911,41.105,42.983,42.983
err_unary_minus_non_numeric,293,294,True,7.851,37.117,38.801,39.065,40.677,40.677
err_eq_incomparable,296,297,True,7.976,34.379,36.04,36.912,38.899,38.899
err_rel_mixed_numeric,281,282,True,7.9,32.085,33.869,34.003,34.764,34.764
err_mod_non_int64,272,273,True,7.886,30.77,31.743,32.933,34.026,34.026
err_range_non_int,285,286,True,7.952,32.454,34.02,34.205,36.689,36.689
err_for_not_iterable,279,280,True,7.888,31.164,32.899,33.01,34.051,34.051
err_for_pattern_map_bad,308,309,True,7.983,36.455,38.007,38.321,41.025,41.025
err_array_index_not_int64,367,368,True,7.958,42.191,43.721,44.05,44.765,44.765
err_array_fill_type,345,346,True,7.925,40.434,41.967,42.764,43.943,43.943
err_string_contains_arg,312,313,True,7.968,38.917,39.958,41.026,42.026,42.026
err_ctor_call_mismatch,347,348,True,7.936,39.521,40.936,41.167,42.971,42.971
err_generic_arity,329,330,True,8.02,38.952,40.845,40.996,43.793,43.793
err_interface_not_implemented,57,58,True,7.96,12.116,13.838,13.99,15.235,15.235
err_interface_sig_mismatch,32,33,True,7.884,10.288,11.964,12.08,12.475,12.475
err_no_member,279,280,True,7.92,34.882,35.976,36.973,72.054,72.054
err_unknown_named_arg,298,299,True,7.93,35.582,37.001,37.858,38.055,38.055
err_index_non_array,270,271,True,7.968,30.936,31.904,32.898,34.155,34.155
err_unary_not_non_bool,258,259,True,8.038,29.384,30.951,31.765,32.312,32.312
err_while_not_bool,280,281,True,7.947,31.838,33.876,33.992,69.25,69.25
err_arraylist_add_type,293,294,True,7.941,37.163,38.884,39.066,39.328,39.328
err_hashmap_key_type,297,298,True,7.931,37.743,38.769,39.956,41.0,41.0
err_bound_var_mismatch,273,274,True,7.88,32.991,34.131,35.056,35.762,35.762
err_rel_unordered,270,271,True,7.873,32.171,33.829,34.013,34.271,34.271
err_interface_as_value,240,241,True,7.96,30.144,31.969,32.078,33.093,33.093
err_arith_non_numeric,347,348,True,7.92,40.464,41.961,42.237,44.059,44.059
err_lambda_arg_arity_explicit,340,341,True,7.943,38.118,39.864,40.051,48.38,48.38
err_lambda_return_type_explicit,314,315,True,8.0,36.06,37.913,38.015,38.944,38.944
err_lambda_zero_body_explicit,258,259,True,7.943,31.408,32.985,33.683,34.964,34.964
err_lambda_hof_explicit,380,381,True,7.863,46.946,47.864,48.977,51.107,51.107
err_lambda_interface_callback_explicit,341,342,True,7.962,47.392,48.789,49.74,54.051,54.051
err_lambda_in_class_static_explicit,264,265,True,7.972,34.452,35.919,36.746,36.921,36.921
err_lambda_param_narrow_explicit,306,307,True,7.958,35.79,37.843,37.896,38.047,38.047
err_lambda_infer_ambiguous_1,307,308,True,7.908,34.797,36.757,36.87,37.002,37.002
err_lambda_infer_ambiguous_2,353,354,True,7.922,40.896,42.02,42.967,62.904,62.904
err_lambda_infer_wrong_return_1,255,256,True,7.877,30.991,32.801,32.97,34.164,34.164
err_lambda_infer_wrong_return_2,348,349,True,7.966,40.096,41.622,41.983,42.594,42.594
err_lambda_infer_collection_1,289,290,True,7.875,36.905,38.728,38.958,40.608,40.608
err_lambda_infer_collection_2,308,309,True,7.99,38.114,39.946,40.039,50.844,50.844
err_lambda_infer_class_helper,278,279,True,7.856,35.392,37.016,37.197,38.029,38.029
err_lambda_infer_interface_helper,304,305,True,7.897,42.499,43.866,44.578,45.772,45.772
