name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.011,39.953,41.66,41.963,44.978,44.978
err_assign_let,425,426,True,7.869,45.939,47.692,47.918,49.927,49.927
err_arity,374,375,True,7.943,38.949,40.086,40.82,43.872,43.872
err_if_not_bool,306,307,True,7.933,33.346,35.009,35.168,38.971,38.971
err_break,356,357,True,7.933,38.145,39.891,40.366,42.993,42.993
err_type_mismatch,346,347,True,7.942,37.98,39.215,39.974,41.21,41.21
err_continue_outside_loop,347,348,True,7.927,39.357,40.68,41.045,43.673,43.673
err_return_type_mismatch,18,19,True,7.985,9.25,10.89,11.12,11.865,11.865
err_duplicate_var,54,55,True,8.014,10.87,12.661,13.069,13.481,13.481
err_arraylist_toarray_assign,309,310,True,7.918,35.692,36.916,37.85,38.896,38.896
err_unary_minus_non_numeric,293,294,True,7.953,33.893,35.533,35.967,37.382,37.382
err_eq_incomparable,296,297,True,7.988,31.525,32.934,33.884,35.445,35.445
err_rel_mixed_numeric,281,282,True,7.993,29.757,31.108,31.981,66.759,66.759
err_mod_non_int64,272,273,True,8.016,28.416,29.712,30.752,32.033,32.033
err_range_non_int,285,286,True,7.888,29.882,31.081,31.956,32.743,32.743
err_for_not_iterable,279,280,True,8.225,28.961,30.479,31.343,46.993,46.993
err_for_pattern_map_bad,308,309,True,7.987,33.104,34.765,34.98,36.765,36.765
err_array_index_not_int64,367,368,True,8.028,38.473,39.857,40.771,42.973,42.973
err_array_fill_type,345,346,True,8.221,37.092,37.94,38.99,41.008,41.008
err_string_contains_arg,312,313,True,7.886,35.202,36.934,37.046,40.045,40.045
err_ctor_call_mismatch,347,348,True,7.994,35.832,37.729,37.937,71.835,71.835
err_generic_arity,329,330,True,7.898,34.94,36.202,36.96,38.065,38.065
err_interface_not_implemented,57,58,True,7.946,11.759,13.703,13.89,14.87,14.87
err_interface_sig_mismatch,32,33,True,7.962,10.23,11.958,12.102,12.82,12.82
err_no_member,279,280,True,7.998,31.633,32.97,33.819,34.89,34.89
err_unknown_named_arg,298,299,True,8.012,32.175,33.814,34.013,69.847,69.847
err_index_non_array,270,271,True,7.947,28.532,29.902,30.202,31.861,31.861
err_unary_not_non_bool,258,259,True,7.948,27.121,28.87,29.053,30.074,30.074
err_while_not_bool,280,281,True,7.968,29.811,30.916,31.497,34.013,34.013
err_arraylist_add_type,293,294,True,7.932,33.805,35.049,35.951,37.911,37.911
err_hashmap_key_type,297,298,True,7.976,33.552,35.723,35.795,39.106,39.106
err_bound_var_mismatch,273,274,True,7.912,30.096,31.825,31.971,34.361,34.361
err_rel_unordered,270,271,True,8.036,29.708,30.853,31.949,34.867,34.867
err_interface_as_value,240,241,True,7.952,27.701,29.23,29.956,32.908,32.908
err_arith_non_numeric,347,348,True,7.97,36.341,37.914,38.244,40.015,40.015
err_lambda_arg_arity_explicit,340,341,True,7.924,34.236,35.768,36.169,40.019,40.019
err_lambda_return_type_explicit,314,315,True,7.981,31.825,33.798,33.864,72.979,72.979
err_lambda_zero_body_explicit,258,259,True,7.965,28.296,29.814,30.092,34.043,34.043
err_lambda_hof_explicit,380,381,True,8.006,41.601,42.953,43.122,44.098,44.098
err_lambda_interface_callback_explicit,341,342,True,7.974,42.678,43.946,44.611,48.17,48.17
err_lambda_in_class_static_explicit,264,265,True,8.018,30.821,32.135,32.98,50.8,50.8
err_lambda_param_narrow_explicit,306,307,True,7.97,32.045,33.891,34.059,36.025,36.025
err_lambda_infer_ambiguous_1,307,308,True,7.908,31.25,32.846,33.068,36.001,36.001
err_lambda_infer_ambiguous_2,353,354,True,7.872,35.957,37.78,38.062,39.012,39.012
err_lambda_infer_wrong_return_1,255,256,True,7.981,28.235,29.705,30.082,31.756,31.756
err_lambda_infer_wrong_return_2,348,349,True,7.923,35.396,35.932,37.224,37.925,37.925
err_lambda_infer_collection_1,289,290,True,7.951,33.275,34.181,35.18,39.016,39.016
err_lambda_infer_collection_2,308,309,True,7.989,34.745,36.063,36.932,40.049,40.049
err_lambda_infer_class_helper,278,279,True,7.981,31.626,32.853,33.943,35.847,35.847
err_lambda_infer_interface_helper,304,305,True,7.965,37.832,39.529,39.926,42.986,42.986
