name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.349,47.481,48.936,48.999,51.979,51.979
err_assign_let,425,426,True,8.198,56.295,56.05,57.949,63.243,63.243
err_arity,374,375,True,8.165,46.027,47.056,47.966,50.025,50.025
err_if_not_bool,306,307,True,8.281,39.163,40.003,40.967,42.953,42.953
err_break,356,357,True,8.203,45.709,46.917,47.916,50.035,50.035
err_type_mismatch,346,347,True,8.117,44.404,45.929,45.997,46.98,46.98
err_continue_outside_loop,347,348,True,8.395,48.868,48.866,51.017,52.023,52.023
err_return_type_mismatch,18,19,True,8.32,9.889,10.709,11.839,12.255,12.255
err_duplicate_var,54,55,True,8.187,11.264,12.931,12.976,14.031,14.031
err_arraylist_toarray_assign,309,310,True,8.103,41.494,42.936,43.076,45.993,45.993
err_unary_minus_non_numeric,293,294,True,8.397,39.77,40.957,41.939,44.894,44.894
err_eq_incomparable,296,297,True,8.264,36.733,37.954,38.903,49.04,49.04
err_rel_mixed_numeric,281,282,True,8.144,33.93,34.953,35.937,37.057,37.057
err_mod_non_int64,272,273,True,8.134,32.334,33.934,33.976,35.91,35.91
err_range_non_int,285,286,True,8.168,34.732,35.918,36.919,39.02,39.02
err_for_not_iterable,279,280,True,8.22,32.964,34.038,34.954,37.906,37.906
err_for_pattern_map_bad,308,309,True,8.279,38.849,39.925,40.939,43.983,43.983
err_array_index_not_int64,367,368,True,8.167,44.934,46.062,46.978,50.045,50.045
err_array_fill_type,345,346,True,8.127,42.994,44.86,44.988,81.944,81.944
err_string_contains_arg,312,313,True,8.145,41.34,42.821,43.005,44.997,44.997
err_ctor_call_mismatch,347,348,True,8.128,41.937,43.012,43.931,46.952,46.952
err_generic_arity,329,330,True,8.203,41.426,42.911,43.026,45.919,45.919
err_interface_not_implemented,57,58,True,8.211,12.742,13.948,14.918,15.671,15.671
err_interface_sig_mismatch,32,33,True,8.241,10.716,11.918,12.904,12.977,12.977
err_no_member,279,280,True,8.466,37.44,38.87,39.021,41.012,41.012
err_unknown_named_arg,298,299,True,8.152,37.165,38.939,38.989,41.933,41.933
err_index_non_array,270,271,True,8.205,32.804,33.941,34.929,36.935,36.935
err_unary_not_non_bool,258,259,True,8.28,31.354,32.01,32.97,35.18,35.18
err_while_not_bool,280,281,True,8.119,33.64,34.963,35.923,36.909,36.909
err_arraylist_add_type,293,294,True,8.069,39.286,40.906,40.975,42.053,42.053
err_hashmap_key_type,297,298,True,8.1,40.133,40.966,41.98,44.979,44.979
err_bound_var_mismatch,273,274,True,8.136,34.67,35.979,36.911,39.954,39.954
err_rel_unordered,270,271,True,8.13,34.266,35.009,35.996,38.158,38.158
err_interface_as_value,240,241,True,8.202,32.312,33.882,34.009,36.93,36.93
err_arith_non_numeric,347,348,True,8.451,43.581,44.953,45.029,49.788,49.788
err_lambda_arg_arity_explicit,340,341,True,8.135,40.775,41.929,42.933,45.99,45.99
err_lambda_return_type_explicit,314,315,True,8.166,38.173,39.797,39.999,43.016,43.016
err_lambda_zero_body_explicit,258,259,True,8.196,33.053,34.887,34.952,38.027,38.027
err_lambda_hof_explicit,380,381,True,8.152,49.781,50.944,51.897,55.885,55.885
err_lambda_interface_callback_explicit,341,342,True,8.277,50.562,51.008,52.01,56.003,56.003
err_lambda_in_class_static_explicit,264,265,True,8.103,36.516,37.887,37.985,40.028,40.028
err_lambda_param_narrow_explicit,306,307,True,8.198,38.14,39.073,39.972,41.935,41.935
err_lambda_infer_ambiguous_1,307,308,True,8.145,37.246,38.02,38.98,42.001,42.001
err_lambda_infer_ambiguous_2,353,354,True,8.13,43.045,44.903,44.982,47.927,47.927
err_lambda_infer_wrong_return_1,255,256,True,8.211,33.435,34.004,35.024,36.968,36.968
err_lambda_infer_wrong_return_2,348,349,True,8.15,43.038,43.04,44.953,46.038,46.038
err_lambda_infer_collection_1,289,290,True,8.184,39.388,40.934,40.997,43.95,43.95
err_lambda_infer_collection_2,308,309,True,8.166,41.014,41.912,42.928,49.924,49.924
err_lambda_infer_class_helper,278,279,True,8.139,37.767,38.914,39.792,44.982,44.982
err_lambda_infer_interface_helper,304,305,True,8.118,45.379,45.995,46.957,82.947,82.947
