name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.138,46.924,48.879,48.929,49.046,49.046
err_assign_let,425,426,True,8.112,55.788,55.961,57.776,59.012,59.012
err_arity,374,375,True,8.017,45.916,46.989,47.935,52.991,52.991
err_if_not_bool,306,307,True,7.981,38.511,39.92,40.034,43.848,43.848
err_break,356,357,True,8.02,45.474,46.914,47.002,49.998,49.998
err_type_mismatch,346,347,True,8.125,44.518,45.904,46.018,47.924,47.924
err_continue_outside_loop,347,348,True,8.043,46.864,47.914,48.899,51.931,51.931
err_return_type_mismatch,18,19,True,8.03,9.401,10.915,11.0,11.889,11.889
err_duplicate_var,54,55,True,8.056,11.092,12.922,12.97,13.992,13.992
err_arraylist_toarray_assign,309,310,True,8.053,41.51,42.911,43.011,78.059,78.059
err_unary_minus_non_numeric,293,294,True,8.099,39.49,40.949,41.219,46.015,46.015
err_eq_incomparable,296,297,True,8.103,36.414,37.929,38.008,38.953,38.953
err_rel_mixed_numeric,281,282,True,8.046,33.792,34.901,35.968,37.948,37.948
err_mod_non_int64,272,273,True,8.081,32.175,33.922,33.967,34.939,34.939
err_range_non_int,285,286,True,8.1,34.669,35.08,36.897,38.071,38.071
err_for_not_iterable,279,280,True,8.05,32.727,34.009,34.938,35.942,35.942
err_for_pattern_map_bad,308,309,True,8.023,38.363,39.938,40.031,49.885,49.885
err_array_index_not_int64,367,368,True,8.104,45.075,45.98,46.971,51.966,51.966
err_array_fill_type,345,346,True,8.028,43.211,44.015,44.966,45.913,45.913
err_string_contains_arg,312,313,True,8.067,41.07,42.929,42.973,43.977,43.977
err_ctor_call_mismatch,347,348,True,8.023,41.487,42.994,43.082,43.929,43.929
err_generic_arity,329,330,True,8.025,41.004,42.082,42.957,42.975,42.975
err_interface_not_implemented,57,58,True,8.002,12.364,13.907,13.989,14.024,14.024
err_interface_sig_mismatch,32,33,True,8.017,10.49,11.887,12.013,12.924,12.924
err_no_member,279,280,True,8.064,36.649,37.972,38.015,40.945,40.945
err_unknown_named_arg,298,299,True,8.028,36.946,38.907,38.955,42.974,42.974
err_index_non_array,270,271,True,8.072,32.357,33.952,34.01,34.997,34.997
err_unary_not_non_bool,258,259,True,8.021,30.679,31.944,32.904,33.212,33.212
err_while_not_bool,280,281,True,7.98,33.633,34.962,35.026,37.971,37.971
err_arraylist_add_type,293,294,True,8.046,39.315,40.733,40.975,43.967,43.967
err_hashmap_key_type,297,298,True,7.958,39.99,41.038,41.909,42.015,42.015
err_bound_var_mismatch,273,274,True,8.082,34.547,35.927,35.993,40.943,40.943
err_rel_unordered,270,271,True,8.051,34.192,34.983,35.958,38.914,38.914
err_interface_as_value,240,241,True,7.968,31.768,32.919,33.884,34.058,34.058
err_arith_non_numeric,347,348,True,8.031,42.934,43.998,44.978,79.945,79.945
err_lambda_arg_arity_explicit,340,341,True,8.011,40.243,41.964,41.985,43.93,43.93
err_lambda_return_type_explicit,314,315,True,8.136,38.503,39.053,40.021,41.023,41.023
err_lambda_zero_body_explicit,258,259,True,8.139,33.24,33.996,34.965,36.987,36.987
err_lambda_hof_explicit,380,381,True,8.086,50.085,51.958,51.975,53.211,53.211
err_lambda_interface_callback_explicit,341,342,True,8.077,50.074,51.014,51.958,52.898,52.898
err_lambda_in_class_static_explicit,264,265,True,8.156,36.473,37.936,38.07,40.919,40.919
err_lambda_param_narrow_explicit,306,307,True,8.061,38.055,38.958,39.956,40.006,40.006
err_lambda_infer_ambiguous_1,307,308,True,7.976,36.996,38.02,38.93,40.964,40.964
err_lambda_infer_ambiguous_2,353,354,True,8.0,42.892,43.965,44.943,46.97,46.97
err_lambda_infer_wrong_return_1,255,256,True,8.077,32.697,33.97,34.905,34.984,34.984
err_lambda_infer_wrong_return_2,348,349,True,8.054,41.97,43.01,43.942,44.981,44.981
err_lambda_infer_collection_1,289,290,True,8.024,39.288,40.906,40.962,41.982,41.982
err_lambda_infer_collection_2,308,309,True,8.063,40.586,41.771,42.034,43.884,43.884
err_lambda_infer_class_helper,278,279,True,8.025,37.346,38.949,38.978,39.947,39.947
err_lambda_infer_interface_helper,304,305,True,8.08,44.865,45.919,46.945,49.02,49.02
