name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.494,39.843,40.969,41.709,77.762,77.762
err_assign_let,425,426,True,8.529,46.01,47.038,48.517,49.494,49.494
err_arity,374,375,True,8.557,38.66,39.852,41.3,42.062,42.062
err_if_not_bool,306,307,True,8.503,33.718,35.021,35.768,37.271,37.271
err_break,356,357,True,8.445,37.918,39.365,39.962,42.034,42.034
err_type_mismatch,346,347,True,8.501,37.962,39.728,40.061,75.941,75.941
err_continue_outside_loop,347,348,True,8.532,39.198,40.881,41.996,43.766,43.766
err_return_type_mismatch,18,19,True,8.493,9.707,11.436,11.952,12.075,12.075
err_duplicate_var,54,55,True,8.514,11.168,12.282,13.057,13.995,13.995
err_arraylist_toarray_assign,309,310,True,8.514,35.672,37.602,38.165,39.236,39.236
err_unary_minus_non_numeric,293,294,True,8.517,33.984,35.617,35.983,36.95,36.95
err_eq_incomparable,296,297,True,8.565,31.664,33.187,33.925,34.264,34.264
err_rel_mixed_numeric,281,282,True,8.494,29.677,31.186,32.362,33.66,33.66
err_mod_non_int64,272,273,True,8.541,28.327,30.373,30.535,31.397,31.397
err_range_non_int,285,286,True,8.51,29.896,31.08,31.758,32.895,32.895
err_for_not_iterable,279,280,True,8.516,28.723,30.436,30.923,31.215,31.215
err_for_pattern_map_bad,308,309,True,8.443,32.785,34.499,34.774,36.297,36.297
err_array_index_not_int64,367,368,True,8.464,38.123,39.678,40.155,41.439,41.439
err_array_fill_type,345,346,True,8.535,36.54,38.702,39.317,39.476,39.476
err_string_contains_arg,312,313,True,8.51,35.47,36.909,38.128,38.602,38.602
err_ctor_call_mismatch,347,348,True,8.497,35.747,37.213,38.084,38.846,38.846
err_generic_arity,329,330,True,8.561,34.862,36.513,37.122,38.314,38.314
err_interface_not_implemented,57,58,True,8.546,12.129,13.86,14.158,15.184,15.184
err_interface_sig_mismatch,32,33,True,8.495,10.661,12.473,13.004,13.294,13.294
err_no_member,279,280,True,8.501,31.753,33.576,33.983,34.553,34.553
err_unknown_named_arg,298,299,True,8.479,31.917,33.46,34.463,35.294,35.294
err_index_non_array,270,271,True,8.479,28.606,29.929,30.913,31.163,31.163
err_unary_not_non_bool,258,259,True,8.442,27.164,28.654,29.504,63.345,63.345
err_while_not_bool,280,281,True,8.457,29.708,31.882,32.074,32.467,32.467
err_arraylist_add_type,293,294,True,8.477,33.768,35.343,35.744,37.453,37.453
err_hashmap_key_type,297,298,True,8.565,33.755,34.909,36.159,38.45,38.45
err_bound_var_mismatch,273,274,True,8.48,30.125,31.719,32.714,33.295,33.295
err_rel_unordered,270,271,True,8.485,29.39,30.929,32.031,32.239,32.239
err_interface_as_value,240,241,True,8.486,27.956,29.535,30.053,30.233,30.233
err_arith_non_numeric,347,348,True,8.516,36.204,37.753,38.831,39.304,39.304
err_lambda_arg_arity_explicit,340,341,True,8.519,33.822,35.673,35.885,37.228,37.228
err_lambda_return_type_explicit,314,315,True,8.528,31.849,33.449,33.837,34.257,34.257
err_lambda_zero_body_explicit,258,259,True,8.476,28.188,29.646,30.193,31.347,31.347
err_lambda_hof_explicit,380,381,True,8.507,41.396,43.035,43.825,44.293,44.293
err_lambda_interface_callback_explicit,341,342,True,8.56,42.615,44.862,45.011,47.481,47.481
err_lambda_in_class_static_explicit,264,265,True,8.535,31.158,32.595,33.137,34.146,34.146
err_lambda_param_narrow_explicit,306,307,True,8.52,32.063,33.769,34.243,34.652,34.652
err_lambda_infer_ambiguous_1,307,308,True,8.52,31.288,32.896,34.15,34.636,34.636
err_lambda_infer_ambiguous_2,353,354,True,8.55,36.047,37.495,38.006,39.415,39.415
err_lambda_infer_wrong_return_1,255,256,True,8.542,27.832,29.532,29.865,31.435,31.435
err_lambda_infer_wrong_return_2,348,349,True,8.526,34.423,35.943,36.977,37.991,37.991
err_lambda_infer_collection_1,289,290,True,8.499,33.248,34.819,36.02,36.398,36.398
err_lambda_infer_collection_2,308,309,True,8.565,34.838,35.725,37.2,38.089,38.089
err_lambda_infer_class_helper,278,279,True,8.539,31.641,33.502,33.827,34.265,34.265
err_lambda_infer_interface_helper,304,305,True,8.522,38.01,39.689,39.93,40.906,40.906
