name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,6.676,38.502,39.925,40.902,41.385,41.385
err_assign_let,425,426,True,6.663,44.666,45.909,46.886,47.384,47.384
err_arity,374,375,True,6.607,37.147,38.591,39.168,39.853,39.853
err_if_not_bool,306,307,True,6.49,32.063,33.747,34.054,35.172,35.172
err_break,356,357,True,6.632,36.746,38.551,38.982,39.472,39.472
err_type_mismatch,346,347,True,6.566,36.444,37.765,38.933,39.349,39.349
err_continue_outside_loop,347,348,True,6.627,37.831,39.446,40.085,40.772,40.772
err_return_type_mismatch,18,19,True,6.615,7.877,9.454,9.839,11.007,11.007
err_duplicate_var,54,55,True,6.627,9.359,10.876,11.653,13.236,13.236
err_arraylist_toarray_assign,309,310,True,6.636,34.364,35.912,36.802,37.464,37.464
err_unary_minus_non_numeric,293,294,True,6.58,32.396,34.084,34.897,35.303,35.303
err_eq_incomparable,296,297,True,6.612,30.026,31.58,32.149,33.439,33.439
err_rel_mixed_numeric,281,282,True,6.602,28.367,29.854,30.964,31.334,31.334
err_mod_non_int64,272,273,True,6.634,26.723,28.725,28.95,30.398,30.398
err_range_non_int,285,286,True,6.647,28.305,30.12,30.903,31.644,31.644
err_for_not_iterable,279,280,True,6.582,27.178,28.662,29.803,30.986,30.986
err_for_pattern_map_bad,308,309,True,6.603,31.55,32.584,34.321,36.176,36.176
err_array_index_not_int64,367,368,True,6.638,36.79,38.509,39.101,39.455,39.455
err_array_fill_type,345,346,True,6.649,35.235,36.712,37.422,38.266,38.266
err_string_contains_arg,312,313,True,6.61,34.039,35.269,35.985,38.233,38.233
err_ctor_call_mismatch,347,348,True,6.602,34.266,35.832,36.953,37.324,37.324
err_generic_arity,329,330,True,6.608,33.267,34.904,36.014,36.328,36.328
err_interface_not_implemented,57,58,True,6.637,10.292,11.842,12.364,13.448,13.448
err_interface_sig_mismatch,32,33,True,6.604,8.862,10.57,10.816,11.212,11.212
err_no_member,279,280,True,6.667,30.442,32.069,32.714,33.329,33.329
err_unknown_named_arg,298,299,True,6.632,30.613,32.635,32.818,34.085,34.085
err_index_non_array,270,271,True,6.613,27.148,28.428,29.964,31.189,31.189
err_unary_not_non_bool,258,259,True,6.616,25.702,27.585,28.289,28.967,28.967
err_while_not_bool,280,281,True,6.643,28.12,29.374,30.897,31.265,31.265
err_arraylist_add_type,293,294,True,6.636,32.237,33.895,34.812,35.564,35.564
err_hashmap_key_type,297,298,True,6.646,32.435,33.955,34.787,35.121,35.121
err_bound_var_mismatch,273,274,True,6.64,28.844,30.483,30.891,32.007,32.007
err_rel_unordered,270,271,True,6.617,27.952,29.694,30.031,30.943,30.943
err_interface_as_value,240,241,True,6.634,26.298,27.874,29.027,29.448,29.448
err_arith_non_numeric,347,348,True,6.606,34.668,36.655,37.267,37.729,37.729
err_lambda_arg_arity_explicit,340,341,True,6.62,32.438,34.393,34.814,35.515,35.515
err_lambda_return_type_explicit,314,315,True,6.67,30.314,32.049,32.871,33.186,33.186
err_lambda_zero_body_explicit,258,259,True,6.509,26.676,28.491,28.855,29.344,29.344
err_lambda_hof_explicit,380,381,True,6.65,40.144,41.521,42.536,43.06,43.06
err_lambda_interface_callback_explicit,341,342,True,6.545,41.137,42.783,43.699,44.167,44.167
err_lambda_in_class_static_explicit,264,265,True,6.654,29.649,30.863,31.681,33.992,33.992
err_lambda_param_narrow_explicit,306,307,True,6.669,30.669,32.503,33.132,34.409,34.409
err_lambda_infer_ambiguous_1,307,308,True,6.649,29.93,31.425,32.119,33.057,33.057
err_lambda_infer_ambiguous_2,353,354,True,6.621,34.52,36.432,37.154,38.149,38.149
err_lambda_infer_wrong_return_1,255,256,True,6.622,26.292,27.285,28.608,29.055,29.055
err_lambda_infer_wrong_return_2,348,349,True,6.58,33.146,34.791,35.63,36.085,36.085
err_lambda_infer_collection_1,289,290,True,6.683,31.871,33.476,34.043,35.58,35.58
err_lambda_infer_collection_2,308,309,True,6.647,33.298,35.127,35.604,36.4,36.4
err_lambda_infer_class_helper,278,279,True,6.658,30.167,32.125,33.124,33.342,33.342
err_lambda_infer_interface_helper,304,305,True,6.663,36.532,37.982,38.686,39.997,39.997
