name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.417,38.945,39.988,41.393,42.451,44.276
err_assign_let,425,426,True,8.489,44.825,45.806,47.129,48.326,48.454
err_arity,374,375,True,8.465,37.942,38.907,40.281,42.696,74.338
err_if_not_bool,306,307,True,8.485,32.673,33.772,34.818,36.206,36.306
err_break,356,357,True,8.476,37.127,38.566,39.257,40.397,40.575
err_type_mismatch,346,347,True,8.46,37.104,38.73,39.077,40.27,40.924
err_continue_outside_loop,347,348,True,8.494,38.388,39.526,40.886,41.505,41.852
err_return_type_mismatch,18,19,True,8.518,9.739,11.561,11.787,12.469,12.68
err_duplicate_var,54,55,True,8.448,10.999,12.749,13.244,14.148,14.453
err_arraylist_toarray_assign,309,310,True,8.46,35.021,36.541,37.092,38.281,71.335
err_unary_minus_non_numeric,293,294,True,8.476,33.194,34.695,35.27,36.318,36.851
err_eq_incomparable,296,297,True,8.5,30.758,31.996,33.158,33.943,34.057
err_rel_mixed_numeric,281,282,True,8.523,29.159,30.516,31.353,32.344,32.464
err_mod_non_int64,272,273,True,8.485,27.554,28.562,29.975,30.561,32.873
err_range_non_int,285,286,True,8.509,29.09,30.813,31.317,32.225,32.235
err_for_not_iterable,279,280,True,8.481,27.946,29.448,30.176,31.219,31.352
err_for_pattern_map_bad,308,309,True,8.527,32.129,33.631,34.68,35.132,35.249
err_array_index_not_int64,367,368,True,8.525,37.403,38.603,39.846,40.191,41.319
err_array_fill_type,345,346,True,8.514,35.613,36.865,38.009,39.449,42.203
err_string_contains_arg,312,313,True,8.491,34.551,35.594,36.927,38.025,38.044
err_ctor_call_mismatch,347,348,True,8.495,34.768,35.016,37.09,38.287,38.979
err_generic_arity,329,330,True,8.462,34.07,35.47,36.271,37.829,73.163
err_interface_not_implemented,57,58,True,8.513,11.953,13.528,14.206,15.116,15.487
err_interface_sig_mismatch,32,33,True,8.437,10.573,12.115,12.89,13.602,13.957
err_no_member,279,280,True,8.494,30.95,32.036,33.248,34.039,36.29
err_unknown_named_arg,298,299,True,8.518,31.244,32.612,33.882,34.392,34.477
err_index_non_array,270,271,True,8.511,28.012,29.466,30.001,31.166,31.223
err_unary_not_non_bool,258,259,True,8.465,26.507,27.962,28.801,29.396,30.043
err_while_not_bool,280,281,True,8.517,28.91,30.5,31.004,31.947,32.175
err_arraylist_add_type,293,294,True,8.492,33.024,34.658,35.464,36.341,36.394
err_hashmap_key_type,297,298,True,8.496,32.937,34.665,35.487,36.315,36.38
err_bound_var_mismatch,273,274,True,8.498,29.409,30.79,31.872,32.444,32.594
err_rel_unordered,270,271,True,8.491,28.875,30.54,31.081,32.092,32.167
err_interface_as_value,240,241,True,8.469,27.169,28.479,29.409,30.253,30.298
err_arith_non_numeric,347,348,True,8.492,35.103,36.682,37.877,38.928,39.069
err_lambda_arg_arity_explicit,340,341,True,8.509,33.035,33.986,35.15,36.14,36.425
err_lambda_return_type_explicit,314,315,True,8.476,31.161,32.698,33.357,34.285,37.503
err_lambda_zero_body_explicit,258,259,True,8.486,27.514,28.563,29.813,30.418,34.068
err_lambda_hof_explicit,380,381,True,8.517,40.484,41.677,42.734,44.067,44.198
err_lambda_interface_callback_explicit,341,342,True,8.51,41.739,42.609,43.613,44.917,44.941
err_lambda_in_class_static_explicit,264,265,True,8.433,30.335,31.474,32.46,33.394,33.415
err_lambda_param_narrow_explicit,306,307,True,8.469,31.263,32.629,33.405,34.39,34.472
err_lambda_infer_ambiguous_1,307,308,True,8.479,30.586,31.816,32.993,33.517,34.66
err_lambda_infer_ambiguous_2,353,354,True,8.462,35.003,36.558,37.176,38.213,38.324
err_lambda_infer_wrong_return_1,255,256,True,8.507,26.983,28.52,29.054,30.375,30.473
err_lambda_infer_wrong_return_2,348,349,True,8.517,33.926,35.399,36.08,37.347,69.692
err_lambda_infer_collection_1,289,290,True,8.492,32.523,33.764,34.888,35.905,35.908
err_lambda_infer_collection_2,308,309,True,8.466,33.648,34.99,36.01,37.173,37.607
err_lambda_infer_class_helper,278,279,True,8.495,30.691,31.985,33.029,33.941,33.963
err_lambda_infer_interface_helper,304,305,True,8.472,37.166,37.711,39.427,40.513,42.657
