name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,6.585,38.476,39.773,40.731,41.378,41.472
err_assign_let,425,426,True,6.616,44.754,46.673,47.015,48.029,49.383
err_arity,374,375,True,6.651,37.299,38.44,39.82,40.58,40.974
err_if_not_bool,306,307,True,6.657,32.156,33.527,34.889,36.598,37.375
err_break,356,357,True,6.586,36.744,38.256,38.952,40.004,41.271
err_type_mismatch,346,347,True,6.624,36.763,37.939,38.998,39.545,39.828
err_continue_outside_loop,347,348,True,6.611,37.959,39.576,40.407,41.798,42.129
err_return_type_mismatch,18,19,True,6.626,7.89,9.514,9.884,10.459,11.0
err_duplicate_var,54,55,True,6.609,9.362,10.573,11.758,12.392,12.982
err_arraylist_toarray_assign,309,310,True,6.648,34.382,35.923,36.954,37.326,37.461
err_unary_minus_non_numeric,293,294,True,6.617,32.471,33.741,34.912,35.347,35.426
err_eq_incomparable,296,297,True,6.644,30.32,30.883,32.914,33.292,33.636
err_rel_mixed_numeric,281,282,True,6.617,28.429,29.834,30.964,31.735,31.927
err_mod_non_int64,272,273,True,6.634,26.84,27.968,29.037,30.114,30.909
err_range_non_int,285,286,True,6.585,28.638,29.897,31.081,31.497,32.187
err_for_not_iterable,279,280,True,6.628,27.327,28.353,29.182,30.395,30.405
err_for_pattern_map_bad,308,309,True,6.665,31.658,32.831,33.908,34.446,34.854
err_array_index_not_int64,367,368,True,6.615,36.971,38.519,38.982,40.021,40.259
err_array_fill_type,345,346,True,6.603,35.149,36.627,37.667,38.478,38.509
err_string_contains_arg,312,313,True,6.619,34.1,35.575,36.823,38.027,38.083
err_ctor_call_mismatch,347,348,True,6.689,34.549,35.66,36.97,37.902,37.965
err_generic_arity,329,330,True,6.609,33.458,34.851,36.091,37.107,37.33
err_interface_not_implemented,57,58,True,6.625,10.378,11.923,13.041,14.181,14.529
err_interface_sig_mismatch,32,33,True,6.605,8.87,10.462,10.924,12.459,13.841
err_no_member,279,280,True,6.644,30.269,31.529,33.044,33.59,34.255
err_unknown_named_arg,298,299,True,6.657,30.718,32.355,32.953,34.048,34.235
err_index_non_array,270,271,True,6.644,27.253,28.631,29.755,30.406,31.045
err_unary_not_non_bool,258,259,True,6.639,25.842,27.391,27.993,30.028,30.418
err_while_not_bool,280,281,True,6.611,28.202,29.783,30.479,31.344,33.401
err_arraylist_add_type,293,294,True,6.675,32.54,33.571,34.994,35.935,36.008
err_hashmap_key_type,297,298,True,6.696,32.474,33.817,34.987,35.937,36.518
err_bound_var_mismatch,273,274,True,6.657,28.737,29.966,31.04,31.878,31.938
err_rel_unordered,270,271,True,6.637,28.141,29.505,29.991,31.334,31.359
err_interface_as_value,240,241,True,6.636,26.443,27.598,28.838,29.67,31.097
err_arith_non_numeric,347,348,True,6.649,34.984,36.28,37.148,38.608,38.941
err_lambda_arg_arity_explicit,340,341,True,6.642,32.567,34.002,35.011,35.741,36.785
err_lambda_return_type_explicit,314,315,True,6.63,30.604,31.801,32.802,33.363,33.964
err_lambda_zero_body_explicit,258,259,True,6.648,26.86,28.477,29.093,29.905,30.164
err_lambda_hof_explicit,380,381,True,6.661,40.186,41.574,42.461,43.272,43.763
err_lambda_interface_callback_explicit,341,342,True,6.629,41.405,42.658,43.959,44.476,46.177
err_lambda_in_class_static_explicit,264,265,True,6.646,29.789,31.313,31.846,32.401,32.855
err_lambda_param_narrow_explicit,306,307,True,6.586,30.764,31.448,32.859,33.576,34.297
err_lambda_infer_ambiguous_1,307,308,True,6.595,29.882,31.381,31.982,33.303,33.963
err_lambda_infer_ambiguous_2,353,354,True,6.618,34.781,36.311,36.872,38.336,38.904
err_lambda_infer_wrong_return_1,255,256,True,6.615,26.333,27.558,28.757,29.328,30.729
err_lambda_infer_wrong_return_2,348,349,True,6.622,33.405,34.84,35.916,36.398,37.129
err_lambda_infer_collection_1,289,290,True,6.564,32.029,33.457,34.398,35.218,35.847
err_lambda_infer_collection_2,308,309,True,6.637,33.316,34.782,35.821,36.306,36.321
err_lambda_infer_class_helper,278,279,True,6.649,30.32,31.735,32.875,34.079,35.204
err_lambda_infer_interface_helper,304,305,True,6.653,36.708,38.506,39.004,40.227,40.354
