name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.387,38.25,39.601,41.048,41.219,41.219
err_assign_let,425,426,True,8.409,44.215,45.822,46.474,49.668,49.668
err_arity,374,375,True,8.452,37.186,38.831,39.878,41.399,41.399
err_if_not_bool,306,307,True,8.424,32.251,33.93,34.792,37.053,37.053
err_break,356,357,True,8.434,36.448,38.292,38.901,39.11,39.11
err_type_mismatch,346,347,True,8.44,36.502,38.657,39.055,39.431,39.431
err_continue_outside_loop,347,348,True,8.354,37.545,38.36,39.992,40.394,40.394
err_return_type_mismatch,18,19,True,8.388,9.544,11.748,11.905,12.422,12.422
err_duplicate_var,54,55,True,8.374,10.881,12.665,12.902,13.576,13.576
err_arraylist_toarray_assign,309,310,True,8.46,34.434,35.768,36.836,37.266,37.266
err_unary_minus_non_numeric,293,294,True,8.461,32.383,34.026,34.638,35.038,35.038
err_eq_incomparable,296,297,True,8.362,30.416,32.09,32.997,33.249,33.249
err_rel_mixed_numeric,281,282,True,8.353,28.705,30.519,31.017,33.441,33.441
err_mod_non_int64,272,273,True,8.395,27.167,28.603,29.921,30.32,30.32
err_range_non_int,285,286,True,8.434,28.736,30.62,30.821,31.359,31.359
err_for_not_iterable,279,280,True,8.446,27.63,29.443,30.001,31.997,31.997
err_for_pattern_map_bad,308,309,True,8.408,31.571,33.684,34.065,34.857,34.857
err_array_index_not_int64,367,368,True,8.379,36.814,37.972,39.066,40.833,40.833
err_array_fill_type,345,346,True,8.413,35.095,36.679,37.438,37.998,37.998
err_string_contains_arg,312,313,True,8.434,33.907,35.835,36.398,36.967,36.967
err_ctor_call_mismatch,347,348,True,8.443,34.36,36.115,36.805,38.636,38.636
err_generic_arity,329,330,True,8.342,33.345,34.579,35.831,36.128,36.128
err_interface_not_implemented,57,58,True,8.407,11.826,13.573,13.818,14.533,14.533
err_interface_sig_mismatch,32,33,True,8.351,10.425,11.954,12.841,13.512,13.512
err_no_member,279,280,True,8.356,30.311,31.675,32.387,33.874,33.874
err_unknown_named_arg,298,299,True,8.434,31.059,32.427,33.45,34.032,34.032
err_index_non_array,270,271,True,8.383,27.577,28.927,30.115,31.16,31.16
err_unary_not_non_bool,258,259,True,8.397,26.25,28.155,29.01,29.318,29.318
err_while_not_bool,280,281,True,8.435,28.579,29.913,30.855,31.451,31.451
err_arraylist_add_type,293,294,True,8.387,32.552,33.651,35.018,36.154,36.154
err_hashmap_key_type,297,298,True,8.348,32.361,33.683,34.744,36.191,36.191
err_bound_var_mismatch,273,274,True,8.439,29.0,30.599,31.107,32.298,32.298
err_rel_unordered,270,271,True,8.412,28.399,30.057,30.93,31.453,31.453
err_interface_as_value,240,241,True,8.426,26.862,28.641,28.846,30.116,30.116
err_arith_non_numeric,347,348,True,8.382,34.77,36.258,36.875,37.368,37.368
err_lambda_arg_arity_explicit,340,341,True,8.346,32.451,34.009,34.951,36.094,36.094
err_lambda_return_type_explicit,314,315,True,8.295,30.499,32.275,33.078,33.458,33.458
err_lambda_zero_body_explicit,258,259,True,8.432,27.283,28.704,29.142,30.282,30.282
err_lambda_hof_explicit,380,381,True,8.394,39.728,41.083,42.004,42.838,42.838
err_lambda_interface_callback_explicit,341,342,True,8.429,40.987,42.459,43.107,44.034,44.034
err_lambda_in_class_static_explicit,264,265,True,8.435,29.738,31.46,31.959,32.618,32.618
err_lambda_param_narrow_explicit,306,307,True,8.367,30.818,32.681,33.152,34.021,34.021
err_lambda_infer_ambiguous_1,307,308,True,8.391,30.135,31.477,32.204,33.074,33.074
err_lambda_infer_ambiguous_2,353,354,True,8.385,34.476,35.916,36.891,38.018,38.018
err_lambda_infer_wrong_return_1,255,256,True,8.408,26.844,28.65,28.87,31.02,31.02
err_lambda_infer_wrong_return_2,348,349,True,8.455,33.321,34.92,36.053,37.441,37.441
err_lambda_infer_collection_1,289,290,True,8.441,32.033,33.735,34.115,36.9,36.9
err_lambda_infer_collection_2,308,309,True,8.4,33.233,34.446,35.916,71.02,71.02
err_lambda_infer_class_helper,278,279,True,8.386,30.25,31.529,33.137,33.343,33.343
err_lambda_infer_interface_helper,304,305,True,8.368,36.217,37.941,38.807,40.613,40.613
