name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.643,43.678,44.969,45.844,48.727,48.727
err_assign_let,425,426,True,8.606,49.89,51.541,52.015,52.968,52.968
err_arity,374,375,True,8.571,42.42,43.924,44.482,45.417,45.417
err_if_not_bool,306,307,True,8.546,36.693,38.083,38.94,72.294,72.294
err_break,356,357,True,8.568,41.635,42.508,43.832,44.38,44.38
err_type_mismatch,346,347,True,8.588,41.57,42.419,43.495,44.435,44.435
err_continue_outside_loop,347,348,True,8.598,42.357,44.055,44.39,45.133,45.133
err_return_type_mismatch,18,19,True,8.611,10.061,11.786,12.095,12.495,12.495
err_duplicate_var,54,55,True,8.616,12.012,13.736,13.989,14.419,14.419
err_arraylist_toarray_assign,309,310,True,8.64,38.738,37.238,40.855,42.379,42.379
err_unary_minus_non_numeric,293,294,True,8.625,36.47,37.965,38.544,39.517,39.517
err_eq_incomparable,296,297,True,8.538,34.516,35.956,36.809,37.433,37.433
err_rel_mixed_numeric,281,282,True,8.522,32.828,34.69,34.912,35.407,35.407
err_mod_non_int64,272,273,True,8.585,31.208,32.915,33.09,33.729,33.729
err_range_non_int,285,286,True,8.613,32.842,32.131,34.991,35.524,35.524
err_for_not_iterable,279,280,True,8.575,31.8,32.993,33.93,34.575,34.575
err_for_pattern_map_bad,308,309,True,8.63,36.167,36.994,37.929,38.796,38.796
err_array_index_not_int64,367,368,True,8.647,42.14,43.756,44.389,45.39,45.39
err_array_fill_type,345,346,True,8.611,40.007,38.927,42.057,43.052,43.052
err_string_contains_arg,312,313,True,8.618,38.297,39.031,40.291,41.187,41.187
err_ctor_call_mismatch,347,348,True,8.656,39.574,41.236,41.952,42.565,42.565
err_generic_arity,329,330,True,8.557,37.929,39.682,39.983,40.765,40.765
err_interface_not_implemented,57,58,True,8.567,12.721,14.17,14.879,15.611,15.611
err_interface_sig_mismatch,32,33,True,8.701,11.054,12.805,13.013,13.467,13.467
err_no_member,279,280,True,8.57,34.325,35.517,36.048,37.521,37.521
err_unknown_named_arg,298,299,True,8.636,35.427,36.715,37.066,38.072,38.072
err_index_non_array,270,271,True,8.607,31.468,33.054,33.44,34.345,34.345
err_unary_not_non_bool,258,259,True,8.637,29.911,31.684,31.946,32.288,32.288
err_while_not_bool,280,281,True,8.615,32.789,33.892,34.64,35.449,35.449
err_arraylist_add_type,293,294,True,8.632,36.798,38.117,38.915,40.009,40.009
err_hashmap_key_type,297,298,True,8.612,36.57,37.84,38.896,39.327,39.327
err_bound_var_mismatch,273,274,True,8.581,33.04,34.962,35.143,36.254,36.254
err_rel_unordered,270,271,True,8.585,32.326,33.52,34.081,35.501,35.501
err_interface_as_value,240,241,True,8.577,30.162,31.82,32.215,34.878,34.878
err_arith_non_numeric,347,348,True,8.636,39.701,41.066,42.133,42.925,42.925
err_lambda_arg_arity_explicit,340,341,True,8.64,37.967,39.628,39.84,40.505,40.505
err_lambda_return_type_explicit,314,315,True,8.66,35.652,36.879,37.515,38.366,38.366
err_lambda_zero_body_explicit,258,259,True,8.61,30.916,32.594,33.047,34.594,34.594
err_lambda_hof_explicit,380,381,True,8.581,45.394,46.542,47.065,49.596,49.596
err_lambda_interface_callback_explicit,341,342,True,8.599,45.587,46.261,47.693,50.469,50.469
err_lambda_in_class_static_explicit,264,265,True,8.623,33.371,34.849,35.481,35.721,35.721
err_lambda_param_narrow_explicit,306,307,True,8.595,35.329,36.906,37.308,38.526,38.526
err_lambda_infer_ambiguous_1,307,308,True,8.605,34.737,36.09,36.799,37.51,37.51
err_lambda_infer_ambiguous_2,353,354,True,8.532,39.59,41.246,41.883,42.312,42.312
err_lambda_infer_wrong_return_1,255,256,True,8.633,30.294,31.784,32.148,33.491,33.491
err_lambda_infer_wrong_return_2,348,349,True,8.548,38.716,39.956,40.844,41.336,41.336
err_lambda_infer_collection_1,289,290,True,8.623,36.361,37.942,38.331,39.145,39.145
err_lambda_infer_collection_2,308,309,True,8.523,37.614,39.045,39.824,40.452,40.452
err_lambda_infer_class_helper,278,279,True,8.602,34.024,35.705,36.056,38.275,38.275
err_lambda_infer_interface_helper,304,305,True,8.644,40.525,41.883,42.561,43.381,43.381
