name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.109,46.758,47.923,48.925,50.008,50.008
err_assign_let,425,426,True,8.149,55.208,56.003,56.969,58.084,58.084
err_arity,374,375,True,8.173,46.033,46.945,47.918,48.915,48.915
err_if_not_bool,306,307,True,8.122,38.395,39.935,40.013,43.015,43.015
err_break,356,357,True,8.187,45.469,46.909,47.011,81.952,81.952
err_type_mismatch,346,347,True,8.131,44.334,45.934,46.008,47.878,47.878
err_continue_outside_loop,347,348,True,8.22,46.815,47.922,48.902,48.976,48.976
err_return_type_mismatch,18,19,True,8.176,9.525,10.976,11.027,11.939,11.939
err_duplicate_var,54,55,True,8.145,11.188,12.821,12.985,13.916,13.916
err_arraylist_toarray_assign,309,310,True,8.16,41.177,42.933,42.955,44.94,44.94
err_unary_minus_non_numeric,293,294,True,8.239,39.445,40.948,40.973,43.987,43.987
err_eq_incomparable,296,297,True,8.132,36.471,37.827,38.055,39.951,39.951
err_rel_mixed_numeric,281,282,True,8.152,33.736,34.904,35.898,36.029,36.029
err_mod_non_int64,272,273,True,8.158,32.137,32.978,33.987,34.173,34.173
err_range_non_int,285,286,True,8.318,34.462,35.944,36.006,36.977,36.977
err_for_not_iterable,279,280,True,8.186,32.736,33.93,34.856,34.98,34.98
err_for_pattern_map_bad,308,309,True,8.167,38.675,39.862,39.984,55.033,55.033
err_array_index_not_int64,367,368,True,8.146,45.013,45.958,46.916,48.024,48.024
err_array_fill_type,345,346,True,8.109,42.991,43.971,44.938,44.989,44.989
err_string_contains_arg,312,313,True,8.171,41.629,41.974,43.002,45.728,45.728
err_ctor_call_mismatch,347,348,True,8.095,41.485,42.916,42.993,45.02,45.02
err_generic_arity,329,330,True,8.174,41.286,41.907,42.966,44.193,44.193
err_interface_not_implemented,57,58,True,8.208,12.559,13.952,14.051,14.963,14.963
err_interface_sig_mismatch,32,33,True,8.192,10.625,11.938,12.899,13.151,13.151
err_no_member,279,280,True,8.206,36.822,37.947,38.011,41.019,41.019
err_unknown_named_arg,298,299,True,8.192,37.151,38.777,38.966,39.939,39.939
err_index_non_array,270,271,True,8.103,32.355,33.931,33.997,36.021,36.021
err_unary_not_non_bool,258,259,True,8.159,30.687,31.869,32.026,34.009,34.009
err_while_not_bool,280,281,True,8.139,33.529,34.928,35.085,37.947,37.947
err_arraylist_add_type,293,294,True,8.193,39.227,39.963,40.957,41.098,41.098
err_hashmap_key_type,297,298,True,8.175,39.748,40.929,41.046,41.974,41.974
err_bound_var_mismatch,273,274,True,8.141,34.676,35.938,36.902,36.948,36.948
err_rel_unordered,270,271,True,8.162,33.987,34.914,35.926,35.963,35.963
err_interface_as_value,240,241,True,8.142,31.696,32.963,33.052,34.225,34.225
err_arith_non_numeric,347,348,True,8.236,42.963,43.951,44.961,45.92,45.92
err_lambda_arg_arity_explicit,340,341,True,8.196,40.306,40.909,41.992,43.004,43.004
err_lambda_return_type_explicit,314,315,True,8.228,38.03,39.011,39.946,42.942,42.942
err_lambda_zero_body_explicit,258,259,True,8.182,32.802,33.934,34.944,69.863,69.863
err_lambda_hof_explicit,380,381,True,8.161,49.788,50.91,51.928,52.001,52.001
err_lambda_interface_callback_explicit,341,342,True,8.116,50.168,51.763,51.979,54.064,54.064
err_lambda_in_class_static_explicit,264,265,True,8.14,36.496,37.733,37.958,38.959,38.959
err_lambda_param_narrow_explicit,306,307,True,8.143,37.755,38.939,39.944,40.049,40.049
err_lambda_infer_ambiguous_1,307,308,True,8.23,36.778,38.025,38.897,39.13,39.13
err_lambda_infer_ambiguous_2,353,354,True,8.135,42.878,43.929,44.931,44.984,44.984
err_lambda_infer_wrong_return_1,255,256,True,8.19,32.501,33.959,34.038,34.977,34.977
err_lambda_infer_wrong_return_2,348,349,True,8.181,41.823,42.964,43.948,45.903,45.903
err_lambda_infer_collection_1,289,290,True,8.306,39.293,40.918,40.966,42.033,42.033
err_lambda_infer_collection_2,308,309,True,8.197,40.595,41.92,42.01,43.013,43.013
err_lambda_infer_class_helper,278,279,True,8.234,37.456,38.914,39.008,40.975,40.975
err_lambda_infer_interface_helper,304,305,True,8.161,44.932,46.914,46.945,47.978,47.978
