name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.033,46.824,47.983,48.922,49.043,49.043
err_assign_let,425,426,True,8.0,55.209,56.926,56.967,57.67,57.67
err_arity,374,375,True,8.002,45.925,46.908,47.954,49.025,49.025
err_if_not_bool,306,307,True,7.979,38.36,39.855,39.985,40.905,40.905
err_break,356,357,True,7.955,45.355,46.903,46.975,47.97,47.97
err_type_mismatch,346,347,True,8.021,44.35,45.911,45.997,47.864,47.864
err_continue_outside_loop,347,348,True,8.193,46.779,47.946,48.927,49.018,49.018
err_return_type_mismatch,18,19,True,8.015,9.376,10.87,10.996,11.066,11.066
err_duplicate_var,54,55,True,7.98,11.107,12.907,12.953,12.988,12.988
err_arraylist_toarray_assign,309,310,True,7.984,41.556,42.922,43.031,52.008,52.008
err_unary_minus_non_numeric,293,294,True,8.002,39.344,40.952,41.003,41.917,41.917
err_eq_incomparable,296,297,True,7.996,36.764,37.958,38.904,40.97,40.97
err_rel_mixed_numeric,281,282,True,8.039,33.804,34.846,35.934,37.964,37.964
err_mod_non_int64,272,273,True,7.97,31.995,33.785,33.945,34.211,34.211
err_range_non_int,285,286,True,8.048,34.325,35.907,36.035,36.958,36.958
err_for_not_iterable,279,280,True,7.946,32.659,33.99,34.781,34.977,34.977
err_for_pattern_map_bad,308,309,True,8.134,38.786,39.947,40.928,42.934,42.934
err_array_index_not_int64,367,368,True,8.064,44.976,45.743,46.96,48.982,48.982
err_array_fill_type,345,346,True,7.968,42.969,43.918,44.954,81.963,81.963
err_string_contains_arg,312,313,True,7.93,41.017,41.986,42.971,44.01,44.01
err_ctor_call_mismatch,347,348,True,7.894,41.646,42.974,43.034,46.015,46.015
err_generic_arity,329,330,True,7.973,41.085,42.681,42.929,44.174,44.174
err_interface_not_implemented,57,58,True,7.902,12.254,13.932,13.962,14.447,14.447
err_interface_sig_mismatch,32,33,True,8.013,10.445,11.816,11.986,12.868,12.868
err_no_member,279,280,True,8.045,36.582,37.957,38.074,40.019,40.019
err_unknown_named_arg,298,299,True,7.951,37.185,38.034,38.95,40.01,40.01
err_index_non_array,270,271,True,7.977,32.178,33.914,33.99,35.955,35.955
err_unary_not_non_bool,258,259,True,7.891,30.48,31.942,32.008,33.259,33.259
err_while_not_bool,280,281,True,7.986,33.614,34.957,35.865,35.96,35.96
err_arraylist_add_type,293,294,True,7.978,39.071,40.005,40.955,41.927,41.927
err_hashmap_key_type,297,298,True,7.994,39.617,40.931,41.181,49.977,49.977
err_bound_var_mismatch,273,274,True,7.937,34.597,35.926,36.097,37.971,37.971
err_rel_unordered,270,271,True,7.894,34.108,34.971,35.962,36.138,36.138
err_interface_as_value,240,241,True,8.004,31.721,32.931,33.917,34.028,34.028
err_arith_non_numeric,347,348,True,8.015,43.333,43.953,44.995,45.948,45.948
err_lambda_arg_arity_explicit,340,341,True,7.964,40.471,41.962,42.037,43.048,43.048
err_lambda_return_type_explicit,314,315,True,8.024,38.004,39.018,39.959,42.027,42.027
err_lambda_zero_body_explicit,258,259,True,7.979,32.961,34.907,34.962,35.028,35.028
err_lambda_hof_explicit,380,381,True,7.923,49.545,50.895,51.083,53.976,53.976
err_lambda_interface_callback_explicit,341,342,True,8.034,49.884,51.007,51.945,52.909,52.909
err_lambda_in_class_static_explicit,264,265,True,8.041,36.246,37.914,37.967,38.924,38.924
err_lambda_param_narrow_explicit,306,307,True,7.991,37.879,38.955,39.972,43.019,43.019
err_lambda_infer_ambiguous_1,307,308,True,8.022,36.757,37.967,38.925,39.932,39.932
err_lambda_infer_ambiguous_2,353,354,True,8.031,42.93,44.007,44.93,45.982,45.982
err_lambda_infer_wrong_return_1,255,256,True,7.98,32.495,33.958,34.068,35.007,35.007
err_lambda_infer_wrong_return_2,348,349,True,7.929,41.658,42.958,43.888,45.934,45.934
err_lambda_infer_collection_1,289,290,True,7.922,39.049,40.908,40.978,41.217,41.217
err_lambda_infer_collection_2,308,309,True,7.977,40.289,41.953,41.969,42.953,42.953
err_lambda_infer_class_helper,278,279,True,7.931,37.343,38.936,38.961,42.01,42.01
err_lambda_infer_interface_helper,304,305,True,8.008,44.706,45.903,46.922,47.904,47.904
