name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.194,32.994,35.712,35.712,35.712,35.712
err_assign_let,425,426,True,8.161,37.956,41.099,41.099,41.099,41.099
err_arity,374,375,True,8.152,32.943,34.836,34.836,34.836,34.836
err_if_not_bool,306,307,True,8.142,28.495,31.371,31.371,31.371,31.371
err_break,356,357,True,8.141,32.708,34.682,34.682,34.682,34.682
err_type_mismatch,346,347,True,8.037,31.309,32.935,32.935,32.935,32.935
err_continue_outside_loop,347,348,True,7.923,33.232,36.131,36.131,36.131,36.131
err_return_type_mismatch,18,19,True,8.136,9.23,11.72,11.72,11.72,11.72
err_duplicate_var,54,55,True,8.141,10.592,12.951,12.951,12.951,12.951
err_arraylist_toarray_assign,309,310,True,8.422,31.157,34.188,34.188,34.188,34.188
err_unary_minus_non_numeric,293,294,True,8.136,29.15,32.05,32.05,32.05,32.05
err_eq_incomparable,296,297,True,7.983,26.724,29.079,29.079,29.079,29.079
err_rel_mixed_numeric,281,282,True,8.128,25.556,27.643,27.643,27.643,27.643
err_mod_non_int64,272,273,True,8.107,24.787,26.589,26.589,26.589,26.589
err_range_non_int,285,286,True,8.052,26.167,28.914,28.914,28.914,28.914
err_for_not_iterable,279,280,True,8.063,25.1,27.863,27.863,27.863,27.863
err_for_pattern_map_bad,308,309,True,8.054,28.558,30.715,30.715,30.715,30.715
err_array_index_not_int64,367,368,True,7.974,32.28,35.291,35.291,35.291,35.291
err_array_fill_type,345,346,True,8.008,31.209,34.275,34.275,34.275,34.275
err_string_contains_arg,312,313,True,8.058,30.288,32.788,32.788,32.788,32.788
err_ctor_call_mismatch,347,348,True,8.116,30.234,32.775,32.775,32.775,32.775
err_generic_arity,329,330,True,8.044,30.007,32.987,32.987,32.987,32.987
err_interface_not_implemented,57,58,True,8.127,11.745,13.554,13.554,13.554,13.554
err_interface_sig_mismatch,32,33,True,7.977,10.44,12.47,12.47,12.47,12.47
err_no_member,279,280,True,8.017,27.283,29.412,29.412,29.412,29.412
err_unknown_named_arg,298,299,True,8.122,27.956,30.318,30.318,30.318,30.318
err_index_non_array,270,271,True,8.274,25.177,28.071,28.071,28.071,28.071
err_unary_not_non_bool,258,259,True,8.047,23.741,26.029,26.029,26.029,26.029
err_while_not_bool,280,281,True,7.997,26.054,27.937,27.937,27.937,27.937
err_arraylist_add_type,293,294,True,8.125,28.807,30.531,30.531,30.531,30.531
err_hashmap_key_type,297,298,True,8.191,29.238,31.792,31.792,31.792,31.792
err_bound_var_mismatch,273,274,True,7.98,25.736,28.018,28.018,28.018,28.018
err_rel_unordered,270,271,True,8.116,25.719,27.837,27.837,27.837,27.837
err_interface_as_value,240,241,True,8.067,25.072,27.171,27.171,27.171,27.171
err_arith_non_numeric,347,348,True,8.151,30.811,32.787,32.787,32.787,32.787
err_lambda_arg_arity_explicit,340,341,True,8.178,29.323,32.234,32.234,32.234,32.234
err_lambda_return_type_explicit,314,315,True,8.053,27.36,30.205,30.205,30.205,30.205
err_lambda_zero_body_explicit,258,259,True,8.045,24.613,26.919,26.919,26.919,26.919
err_lambda_hof_explicit,380,381,True,8.027,35.74,37.577,37.577,37.577,37.577
err_lambda_interface_callback_explicit,341,342,True,8.158,37.636,39.671,39.671,39.671,39.671
err_lambda_in_class_static_explicit,264,265,True,8.185,27.335,30.02,30.02,30.02,30.02
err_lambda_param_narrow_explicit,306,307,True,8.108,27.506,30.303,30.303,30.303,30.303
err_lambda_infer_ambiguous_1,307,308,True,8.072,27.138,29.147,29.147,29.147,29.147
err_lambda_infer_ambiguous_2,353,354,True,8.073,30.814,32.679,32.679,32.679,32.679
err_lambda_infer_wrong_return_1,255,256,True,8.038,24.442,27.142,27.142,27.142,27.142
err_lambda_infer_wrong_return_2,348,349,True,8.062,29.852,31.909,31.909,31.909,31.909
err_lambda_infer_collection_1,289,290,True,8.096,29.005,31.095,31.095,31.095,31.095
err_lambda_infer_collection_2,308,309,True,7.974,29.371,32.233,32.233,32.233,32.233
err_lambda_infer_class_helper,278,279,True,8.133,28.22,31.208,31.208,31.208,31.208
err_lambda_infer_interface_helper,304,305,True,8.145,32.761,35.219,35.219,35.219,35.219
