name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.663,37.089,37.95,38.933,40.001,40.001
err_assign_let,425,426,True,8.61,44.1,43.943,45.946,47.004,47.004
err_arity,374,375,True,8.697,35.991,35.975,37.981,41.992,41.992
err_if_not_bool,306,307,True,8.581,30.267,30.929,31.971,32.967,32.967
err_break,356,357,True,8.598,36.31,36.954,37.968,39.972,39.972
err_type_mismatch,346,347,True,8.573,34.872,35.97,36.941,39.982,39.982
err_continue_outside_loop,347,348,True,8.53,36.878,37.95,38.924,40.95,40.95
err_return_type_mismatch,18,19,True,8.673,9.456,10.956,11.003,12.024,12.024
err_duplicate_var,54,55,True,8.65,10.076,11.887,11.942,12.963,12.963
err_arraylist_toarray_assign,309,310,True,8.655,33.394,33.958,34.964,39.98,39.98
err_unary_minus_non_numeric,293,294,True,8.58,31.208,31.958,32.968,34.925,34.925
err_eq_incomparable,296,297,True,8.731,28.816,29.908,30.94,69.003,69.003
err_rel_mixed_numeric,281,282,True,8.673,26.402,27.014,27.986,31.939,31.939
err_mod_non_int64,272,273,True,8.675,24.913,25.96,26.869,27.914,27.914
err_range_non_int,285,286,True,8.721,26.351,27.945,27.988,28.996,28.996
err_for_not_iterable,279,280,True,8.65,24.983,26.042,26.979,27.99,27.99
err_for_pattern_map_bad,308,309,True,8.538,29.785,30.968,31.928,33.025,33.025
err_array_index_not_int64,367,368,True,8.683,34.239,34.993,35.965,37.934,37.934
err_array_fill_type,345,346,True,8.629,33.408,34.909,35.039,43.008,43.008
err_string_contains_arg,312,313,True,8.773,32.707,32.923,34.974,39.971,39.971
err_ctor_call_mismatch,347,348,True,8.751,32.495,32.962,33.973,35.977,35.977
err_generic_arity,329,330,True,8.681,32.475,32.922,34.087,37.03,37.03
err_interface_not_implemented,57,58,True,8.777,11.422,12.939,13.057,13.927,13.927
err_interface_sig_mismatch,32,33,True,8.658,10.129,11.839,11.935,12.962,12.962
err_no_member,279,280,True,8.52,29.187,30.015,30.949,37.943,37.943
err_unknown_named_arg,298,299,True,8.881,28.969,29.971,30.959,31.988,31.988
err_index_non_array,270,271,True,8.512,24.867,25.987,26.931,29.932,29.932
err_unary_not_non_bool,258,259,True,8.629,23.92,24.965,25.957,28.055,28.055
err_while_not_bool,280,281,True,8.664,26.222,27.935,27.991,29.936,29.936
err_arraylist_add_type,293,294,True,8.58,31.348,32.875,32.981,34.926,34.926
err_hashmap_key_type,297,298,True,8.91,32.498,33.016,33.968,40.954,40.954
err_bound_var_mismatch,273,274,True,8.553,27.178,28.005,28.99,32.031,32.031
err_rel_unordered,270,271,True,8.59,26.861,27.954,28.951,38.99,38.99
err_interface_as_value,240,241,True,8.634,25.493,26.938,27.026,28.023,28.023
err_arith_non_numeric,347,348,True,8.691,33.38,34.929,35.033,37.03,37.03
err_lambda_arg_arity_explicit,340,341,True,8.717,30.779,31.963,32.936,34.967,34.967
err_lambda_return_type_explicit,314,315,True,8.661,29.646,30.94,31.937,33.897,33.897
err_lambda_zero_body_explicit,258,259,True,8.611,26.569,27.923,28.049,29.012,29.012
err_lambda_hof_explicit,380,381,True,8.682,39.888,39.989,41.963,45.058,45.058
err_lambda_interface_callback_explicit,341,342,True,8.567,40.747,41.948,42.792,43.977,43.977
err_lambda_in_class_static_explicit,264,265,True,8.676,29.534,30.96,31.025,32.96,32.96
err_lambda_param_narrow_explicit,306,307,True,8.636,29.947,30.912,31.954,33.046,33.046
err_lambda_infer_ambiguous_1,307,308,True,8.691,28.715,29.909,30.768,31.015,31.015
err_lambda_infer_ambiguous_2,353,354,True,8.767,34.313,34.927,35.817,37.974,37.974
err_lambda_infer_wrong_return_1,255,256,True,8.683,25.884,26.941,27.976,28.883,28.883
err_lambda_infer_wrong_return_2,348,349,True,8.682,33.31,33.953,35.01,37.007,37.007
err_lambda_infer_collection_1,289,290,True,8.692,31.711,32.879,33.921,34.98,34.98
err_lambda_infer_collection_2,308,309,True,8.777,33.298,32.893,34.974,36.19,36.19
err_lambda_infer_class_helper,278,279,True,8.674,30.419,30.985,32.011,34.961,34.961
err_lambda_infer_interface_helper,304,305,True,8.62,36.751,37.014,38.916,39.067,39.067
